scenario_id,controller_type,category,report,total_cost,peak_grid_kw,temp_violation_degree_hours,fallback_count
peakcap_r0p95_eta20_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p95_eta20_mpc_no_tes/report.md,1344849.2471701032,20035.500000000684,430.66394491444265,0
peakcap_r0p95_eta20_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p95_eta20_mpc_tes/report.md,1345057.8615338926,20035.50000000021,415.57718472026505,0
peakcap_r0p95_eta5_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p95_eta5_mpc_no_tes/report.md,1344903.7693992157,20035.50000002764,429.4035658906272,0
peakcap_r0p95_eta5_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p95_eta5_mpc_tes/report.md,1344939.3534396105,20035.50000000009,418.0038218529692,0
peakcap_r0p97_eta10_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p97_eta10_mpc_no_tes/report.md,1328974.9705662727,20457.30000000629,0.0001618576182389,0
peakcap_r0p97_eta10_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p97_eta10_mpc_tes/report.md,1328488.2438244177,20457.3000000084,1.3322676295501878e-14,0
peakcap_r0p97_eta20_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p97_eta20_mpc_no_tes/report.md,1329065.4077032804,20457.3000000025,0.000915817267538,0
peakcap_r0p97_eta20_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p97_eta20_mpc_tes/report.md,1328345.1945089176,20457.30000000106,0.0007037242271055,0
peakcap_r0p97_eta5_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p97_eta5_mpc_no_tes/report.md,1328966.690275857,20457.300000002462,0.0001618576182353,0
peakcap_r0p97_eta5_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p97_eta5_mpc_tes/report.md,1328410.8136771673,20457.300000005976,6.217248937900877e-15,0
peakcap_r0p99_eta10_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p99_eta10_mpc_no_tes/report.md,1307962.0423423331,20879.10000000049,0.0002202440139642,0
peakcap_r0p99_eta10_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p99_eta10_mpc_tes/report.md,1307783.1370475215,20879.100000000315,1.9539925233402758e-13,0
