scenario_id,location_id,pv_capacity_mwp,tes_capacity_mwh_th,critical_peak_uplift,critical_peak_window_set,controller,run_dir,status,facility_energy_kwh,grid_import_kwh,pv_generation_kwh,pv_spill_kwh,pv_used_kwh,pv_self_consumption_ratio,pv_facility_load_coverage_ratio,peak_grid_kw,total_cost,energy_cost,critical_peak_duration_h,critical_peak_grid_kwh,critical_peak_avg_grid_kw,critical_peak_pv_used_kwh,critical_peak_tes_discharge_kwh_th,critical_peak_tes_charge_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_discharge_cp_ratio,tes_effective_capacity_kwh_th,tes_cp_capacity_utilization,soc_initial,soc_final,soc_delta,soc_min_observed,soc_max_observed,grid_balance_max_abs_error_kw,signed_valve_max_abs_delta,signed_valve_violation_max,peak_reduction_kw,peak_reduction_ratio,critical_peak_cost_impact,critical_peak_suppression_ratio,critical_peak_grid_reduction_kwh,marginal_cp_suppression_per_mwh,marginal_peak_reduction_per_mwp,diminishing_return_after_this_capacity,is_pareto_frontier,pareto_rank,is_recommended
phase3_nanjing_pv20mwp_tes0mwh_cp00,nanjing,20.0,0.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes0mwh_cp00,completed,1686187.9901001842,1183784.5852725478,526553.8,24150.395172363867,502403.4048276362,0.9541349902472192,0.29795219025239655,10223.316749332938,106695.06543130189,106695.06543130189,28.0,244294.41762467282,8724.8006294526,37227.399999999994,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv20mwp_tes0mwh_cp20,nanjing,20.0,0.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes0mwh_cp20,completed,1686187.9901001842,1183784.5852725478,526553.8,24150.395172363867,502403.4048276362,0.9541349902472192,0.29795219025239655,10223.316749332938,114525.96949037527,114525.96949037527,28.0,244294.41762467282,8724.8006294526,37227.399999999994,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,7830.904059073378,0.0,0.0,,0.0,False,True,1.0,False
phase3_nanjing_pv20mwp_tes9mwh_cp00,nanjing,20.0,9.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes9mwh_cp00,completed,1686840.6425556066,1184017.872746953,526553.8,23731.03019134656,502822.7698086535,0.9549314235480847,0.29808551983124154,10223.316749332938,106596.33288419066,106596.33288419066,28.0,244240.12033912743,8722.861440683122,37227.399999999994,281.25,10.154115163942848,15301.291282636812,11449.517802347298,0.024564353264059743,6300.0,0.044642857142857144,0.5,0.5120210442507208,0.012021044250720814,0.49649497393377695,0.8496214283272753,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv20mwp_tes9mwh_cp20,nanjing,20.0,9.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes9mwh_cp20,completed,1687040.9019335725,1184283.4287219057,526553.8,23796.326788333135,502757.4732116669,0.9548074160924618,0.29801143092348276,10223.316749332938,114255.82864356821,114255.82864356821,28.0,239622.17150216573,8557.93469650592,37227.399999999994,23370.994184808646,10.154115163942848,29126.13551959189,23741.340371127266,0.9844007886442244,6300.0,3.709681616636293,0.5,0.5179362090131323,0.01793620901313231,0.15,0.8496214283272753,7.389644451905042e-13,0.25,0.0,0.0,0.0,7659.495759377547,0.021888698725305744,4672.246122507087,0.0024320776361450827,0.0,False,True,1.0,False
phase3_nanjing_pv20mwp_tes18mwh_cp00,nanjing,20.0,18.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes18mwh_cp00,completed,1687484.5079909703,1184161.3557009106,526553.8,23230.647709940404,503323.15229005966,0.95588172051946,0.29826830996468795,10223.316749332938,106631.84260045364,106631.84260045364,28.0,244242.03427577612,8722.929795563434,37227.399999999994,281.25,20.10658573716728,29991.493507453953,22355.38507246794,0.012580861348990004,12600.0,0.022321428571428572,0.5,0.5120106655478254,0.012010665547825372,0.49874474960660886,0.8495971201316674,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv20mwp_tes18mwh_cp20,nanjing,20.0,18.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes18mwh_cp20,completed,1687824.7247648952,1183837.759863629,526553.8,22566.83509873385,503986.9649012662,0.9571423943788198,0.2986014824326435,10223.316749332938,113665.42748235661,113665.42748235661,28.0,234945.0855430756,8390.8959122527,37227.399999999994,46765.99366350262,20.10658573716728,57430.09853273763,47037.57526561619,0.9942262839744612,12600.0,3.711586798690684,0.5,0.5076894238199272,0.00768942381992721,0.15,0.8495873712608786,7.389644451905042e-13,0.25,0.0,0.0,0.0,7033.584881902963,0.10181700237363922,9349.332081597211,0.00888092262759261,0.0,False,True,1.0,False
phase3_nanjing_pv20mwp_tes36mwh_cp00,nanjing,20.0,36.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes36mwh_cp00,completed,1688514.7110371613,1183770.49893621,526553.8,21809.58789904876,504744.2121009513,0.9585805137118966,0.29892793281671487,10223.316749332938,106669.7717471708,106669.7717471708,28.0,244245.8621490735,8723.066505324054,37227.399999999994,281.25,40.011526883616135,43494.64246987263,30188.166920761058,0.00931656435908264,25200.0,0.011160714285714286,0.5,0.5120054761963777,0.012005476196377707,0.49899861435228876,0.8495821733930136,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv20mwp_tes36mwh_cp20,nanjing,20.0,36.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes36mwh_cp20,completed,1688964.2292032475,1182959.5152554945,526553.8,20549.08605224693,506004.71394775313,0.9609743846644979,0.2995946895728253,10223.316749332938,112942.45708652223,112942.45708652223,28.0,230868.40247588244,8245.300088424372,37227.399999999994,67168.54836595544,40.011526883616135,84291.73363652322,67168.54836595544,1.0,25200.0,2.6654185859506128,0.5,0.5003634941735402,0.00036349417354020197,0.34706453194746495,0.8495846705362812,7.389644451905042e-13,0.25,0.0,0.0,0.0,6272.685339351432,0.19898324739612872,13426.015148790379,0.005398124723471638,0.0,False,True,1.0,False
phase3_nanjing_pv20mwp_tes72mwh_cp00,nanjing,20.0,72.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes72mwh_cp00,completed,1690460.911482539,1183953.7880562567,526553.8,20046.67657371765,506507.1234262824,0.9619285311895619,0.2996266402765114,10223.316749332938,106711.858246834,106711.858246834,28.0,244281.0257046513,8724.32234659469,37227.399999999994,281.25,222.86201588819034,63929.69118824538,40106.25,0.0070126227208976155,50400.0,0.005580357142857143,0.5,0.5120028815206539,0.012002881520653874,0.49895013473728017,0.8495778142776411,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv20mwp_tes72mwh_cp20,nanjing,20.0,72.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv20mwp_tes72mwh_cp20,completed,1690733.6181068614,1184002.5061142943,526553.8,19822.688007432822,506731.1119925672,0.9623539170974877,0.29971079214711616,10223.316749332938,112812.61634942747,112812.61634942747,28.0,232296.82711120212,8296.315253971505,37227.399999999994,60942.54668254399,992.777879798116,107668.01418456735,80798.796682544,0.7542506718507875,50400.0,1.2091775135425393,0.5,0.496953320502169,-0.0030466794978309952,0.49469561171498644,0.8455412930847467,7.389644451905042e-13,0.25,0.0,0.0,0.0,6100.758102593463,0.22093821395695168,11997.590513470699,0.0006098601822450824,0.0,False,True,1.0,True
phase3_nanjing_pv40mwp_tes0mwh_cp00,nanjing,40.0,0.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv40mwp_tes0mwh_cp00,completed,1686187.9901001842,1018648.3229197827,1053107.6,385567.9328195985,667539.6671804015,0.6338760324020085,0.3958868590570022,10223.316749332938,89963.14976352555,89963.14976352555,28.0,207067.01762467285,7395.250629452602,74454.79999999999,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv40mwp_tes0mwh_cp20,nanjing,40.0,0.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv40mwp_tes0mwh_cp20,completed,1686187.9901001842,1018648.3229197827,1053107.6,385567.9328195985,667539.6671804015,0.6338760324020085,0.3958868590570022,10223.316749332938,96994.3997825989,96994.3997825989,28.0,207067.01762467285,7395.250629452602,74454.79999999999,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,7.389644451905042e-13,0.0,0.0,0.0,0.0,7031.250019073355,0.0,0.0,,0.0,False,True,1.0,False
phase3_nanjing_pv40mwp_tes9mwh_cp00,nanjing,40.0,9.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv40mwp_tes9mwh_cp00,completed,1686842.027656376,1017202.5037541841,1053107.6,383468.0760978084,669639.5239021917,0.6358699945781339,0.3969782071606073,10223.316749332938,89578.40464227065,89578.40464227065,28.0,207013.6385296459,7393.344233201639,74454.79999999999,281.25,14.928705859836644,15314.285708497582,11455.086938750752,0.024552410776436415,6300.0,0.044642857142857144,0.5,0.5122564150524559,0.012256415052455893,0.49649497393377695,0.8496128160965541,7.389644451905042e-13,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv40mwp_tes9mwh_cp20,nanjing,40.0,9.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv40mwp_tes9mwh_cp20,completed,1687044.1862663429,1017586.6014468609,1053107.6,383650.01518051804,669457.584819482,0.6356972305768964,0.3968227923544091,10223.316749332938,96433.74405458807,96433.74405458807,28.0,202394.8638766749,7228.387995595533,74454.79999999999,23375.123264854752,14.928705859836644,29147.485981887927,23745.44799794429,0.9844043905542823,6300.0,3.710337026167421,0.5,0.5179362090720342,0.017936209072034193,0.15,0.8496231464287446,7.389644451905042e-13,0.25,0.0,0.0,0.0,6855.339412317422,0.02501839733742206,4672.153747997945,0.002779821926380229,0.0,False,True,1.0,False
