step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
513,9153,2024-04-06 08:15:00,0.0,12.239351366849597,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.240190263035027,25.153251656923143,15.0,14.804644572757445,2054.790796707138,6827.2285533386885,9972.084492636148,9972.084492636151,0.0,9972.084492636148,72.29761257161208,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
514,9154,2024-04-06 08:30:00,0.0,12.239910636562835,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.240749494370617,25.15320953705509,15.0,14.706447316376192,2054.3694584224927,6827.226975425598,9976.384174095729,9976.38417409573,0.0,9976.384174095729,72.32878526219403,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
515,9155,2024-04-06 08:45:00,0.0,12.240469880714722,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.241308699789853,25.153161931637868,15.0,14.607904892221114,2053.9880491798467,6827.222761162272,9980.809278684483,9980.809278684483,0.0,9980.809278684483,72.3608672704625,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
516,9156,2024-04-06 09:00:00,0.0,12.24102909911261,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.241867879059185,25.153115316215267,15.0,14.706447316376192,2054.312828806327,6827.216111621523,9962.71710424256,9962.71710424256,1641.36,8321.35710424256,312.050891409096,0.15,0.0,no_mpc,0.15,1641.36,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
517,9157,2024-04-06 09:15:00,0.0,12.241588291456281,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.242427032217737,25.153074401841444,15.0,14.804644572757445,2054.72640272839,6827.209951695737,9958.143985550107,9958.143985550105,0.0,9958.143985550107,72.19654389523828,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
518,9158,2024-04-06 09:30:00,0.0,12.242147457664338,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.242986159514269,25.15304131217087,15.0,14.902492100310402,2055.1809949634,6827.206117203236,9954.162305563195,9954.162305563195,0.0,9954.162305563195,72.16767671533317,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
519,9159,2024-04-06 09:45:00,0.0,12.242706597874065,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.243545261296513,25.153014553155288,15.0,14.99999835023321,2055.6764531452604,6827.205451736709,9950.300370418512,9950.300370418512,0.0,9950.300370418512,72.13967768553421,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
520,9160,2024-04-06 10:00:00,0.0,12.243265712433129,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.244104337828,25.15302169584232,15.25,15.102553956813848,2056.2521955308835,6827.244607113026,9946.009745733993,9946.009745733993,2782.26,7163.749745733992,268.6406154650247,0.15,0.0,no_mpc,0.15,2782.26,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
521,9161,2024-04-06 10:15:00,0.0,12.243824801567389,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.244663390582682,25.153043713089776,15.5,15.202201326080296,2056.8629964679085,6827.297757147471,9942.460399742184,9942.460399742184,0.0,9942.460399742184,72.08283789813083,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
522,9162,2024-04-06 10:30:00,0.0,12.244383866235205,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.245222420210537,25.153073669554793,15.75,15.298883063730704,2057.4994818028945,6827.356917960961,9939.14527775093,9939.14527775093,0.0,9939.14527775093,72.05880326369424,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
523,9163,2024-04-06 10:45:00,0.0,12.244942907425528,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.245781427053696,25.153109093644794,16.0,15.392562826057274,2058.156750546175,6827.419140140043,9936.035244200153,9936.035244200155,0.0,9936.035244200153,72.0362555204511,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
524,9164,2024-04-06 11:00:00,0.0,12.245501925633272,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.246340411343887,25.153119114765992,15.975,15.444556525093883,2058.5542172360974,6827.442640682356,9936.894469964718,9936.894469964718,3764.28,6172.6144699647175,128.0817502517679,0.083,0.0,no_mpc,0.083,3764.28,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
