seed,timestamp,epoch,episode,num_timesteps,elapsed_seconds,ent_coef,critic_loss,actor_loss,ent_coef_loss,learning_rate,n_updates,last_episode,last_reward,last_comfort_pct,reward_mean_last5
02,2026-04-06T22:30:21,1775507421.9524558,201,1759000,77268.47429409999,0.305266410112381,489.6552734375,-124.66001892089844,-0.07943524420261383,5e-05,1750239,200,-34420.777818385315,66.64764296313206,-13790.740221970944
03,2026-04-06T22:30:21,1775507421.9540122,202,1763500,77396.66498690002,0.6432774066925049,1508.330810546875,-555.30029296875,0.030291862785816193,5e-05,1754739,201,-10292.663205538684,45.8623444812236,-16351.753293574884
04,2026-04-06T22:30:21,1775507421.9555638,201,1759000,77271.557775,0.849051296710968,803.284912109375,-660.5712280273438,0.019207386299967766,5e-05,1750239,200,-33285.63936502476,57.60757904348819,-11546.691007455667
05,2026-04-06T22:30:21,1775507421.9571023,203,1776000,77426.90370719999,0.05510338395833969,32.547637939453125,65.320068359375,0.14730441570281982,5e-05,1767239,202,-6049.100223656901,6.848533272457483,-11937.782738435013
06,2026-04-06T22:30:21,1775507421.9586422,202,1768000,77476.77274399999,0.08832782506942749,60.374107360839844,-29.034931182861328,-0.2478107213973999,5e-05,1759239,201,-6267.4754230545495,8.857436365711676,-11722.069749904744
07,2026-04-06T22:30:21,1775507421.9606662,201,1754500,77457.03467680002,0.13813506066799164,261.00091552734375,60.15346908569336,-0.08425270766019821,5e-05,1745739,200,-34897.30165136343,63.34893277023171,-12523.129431985548
08,2026-04-06T22:30:21,1775507421.9616697,200,1750500,77261.2436633,0.24469730257987976,126.63452911376953,-4.12305212020874,0.018253296613693237,5e-05,1741739,199,-6435.993494279473,11.516950119849332,-6073.640558337582
09,2026-04-06T22:30:21,1775507421.963674,202,1765500,77441.1859671,2.2000935077667236,10343.23046875,-1688.523193359375,-0.08697671443223953,5e-05,1756739,201,-9540.100469152125,37.03915078187421,-16261.685824026441
10,2026-04-06T22:30:21,1775507421.9651809,200,1747000,77466.9379854,0.305315226316452,684.7193603515625,55.942535400390625,-0.016040176153182983,5e-05,1738239,199,-6977.521313092063,11.414222120762469,-9002.750161731983
11,2026-04-06T22:30:21,1775507421.968185,202,1769000,77398.89938400002,0.501497209072113,1811.1044921875,-629.3153076171875,0.03206181898713112,5e-05,1760239,201,-7488.898835387012,18.559525168359777,-16935.384396676272
12,2026-04-06T22:30:21,1775507421.9701862,203,1771000,77389.6377848,0.08838341385126114,56.26665496826172,7.002015590667725,-0.02944032847881317,5e-05,1762239,202,-6080.410492006065,8.412281703001941,-12561.242210945395
