seed,timestamp,epoch,episode,num_timesteps,elapsed_seconds,ent_coef,critic_loss,actor_loss,ent_coef_loss,learning_rate,n_updates,last_episode,last_reward,last_comfort_pct,reward_mean_last5
07,2026-04-12T02:39:36,1775954376.818605,2,9000,194.90048569999635,0.9880380630493164,5.773143291473389,-4.452282428741455,-0.10057304799556732,5e-05,239,1,-9821.099176443893,50.69056043830613,-9821.099176443893
08,2026-04-12T02:39:36,1775954376.8299658,2,9000,193.50563080000575,0.9880477786064148,6.231218338012695,-4.46525239944458,-0.10042545199394226,5e-05,239,1,-8442.931499267077,39.653007647528824,-8442.931499267077
09,2026-04-12T02:39:36,1775954376.8374748,2,9000,193.19786480002222,0.9879902005195618,5.791040420532227,-4.580655097961426,-0.10112081468105316,5e-05,239,1,-8691.117389095372,41.65049651866226,-8691.117389095372
10,2026-04-12T02:39:36,1775954376.8469796,2,9000,193.06564310000977,0.9880577325820923,5.932110786437988,-4.236811637878418,-0.10059370845556259,5e-05,239,1,-9358.766679246124,45.257390708823195,-9358.766679246124
11,2026-04-12T02:39:36,1775954376.8554864,2,9000,192.8950460999913,0.9880715012550354,5.211636066436768,-4.367469787597656,-0.10054652392864227,5e-05,239,1,-8909.156332235001,43.031617395274516,-8909.156332235001
12,2026-04-12T02:39:36,1775954376.86349,2,9000,192.59061029998702,0.9880290627479553,6.681036949157715,-4.567180633544922,-0.10049766302108765,5e-05,239,1,-8944.63088604131,43.385458281018145,-8944.63088604131
01,2026-04-12T02:44:36,1775954676.8742702,2,10500,569.7611507000111,0.9164218306541443,3.9979069232940674,-4.9770660400390625,-0.7317357063293457,5e-05,1739,1,-8991.541640659523,43.065860061636805,-8991.541640659523
02,2026-04-12T02:44:36,1775954676.879778,2,10500,574.3205535000016,0.9164130687713623,5.009064674377441,-5.147707939147949,-0.7343796491622925,5e-05,1739,1,-8838.08343924549,40.086748088117794,-8838.08343924549
03,2026-04-12T02:44:36,1775954676.883774,2,10500,578.4868979000021,0.9164757132530212,4.124227523803711,-5.1576738357543945,-0.7328181266784668,5e-05,1739,1,-8919.746836567383,43.9789978312978,-8919.746836567383
04,2026-04-12T02:44:36,1775954676.8892813,2,10500,580.4734731999924,0.916202187538147,5.039478778839111,-5.3106818199157715,-0.7367764115333557,5e-05,1739,1,-8846.041739259741,43.5224289464673,-8846.041739259741
05,2026-04-12T02:44:36,1775954676.894284,2,10500,579.5815475000127,0.9164741635322571,4.144167423248291,-5.044493198394775,-0.7341788411140442,5e-05,1739,1,-9682.355468272002,52.48259331126584,-9682.355468272002
06,2026-04-12T02:44:36,1775954676.8987885,2,10500,581.6116152000031,0.9162830710411072,4.278105735778809,-5.250870704650879,-0.736829400062561,5e-05,1739,1,-8779.615681853655,43.4311151695012,-8779.615681853655
07,2026-04-12T02:44:36,1775954676.9057887,2,10500,585.1153656000097,0.9164310693740845,4.4340925216674805,-5.329170227050781,-0.7322404384613037,5e-05,1739,1,-9821.099176443893,50.69056043830613,-9821.099176443893
08,2026-04-12T02:44:36,1775954676.9113011,2,10500,582.711363999988,0.9164347052574158,4.354346752166748,-5.088602066040039,-0.7340503931045532,5e-05,1739,1,-8442.931499267077,39.653007647528824,-8442.931499267077
09,2026-04-12T02:44:36,1775954676.9162998,2,10500,581.6637903000228,0.916354238986969,3.6103134155273438,-5.166482925415039,-0.7304214239120483,5e-05,1739,1,-8691.117389095372,41.65049651866226,-8691.117389095372
10,2026-04-12T02:44:36,1775954676.9214265,2,10500,583.2895277000207,0.916480541229248,3.888277053833008,-4.904010772705078,-0.7328041791915894,5e-05,1739,1,-9358.766679246124,45.257390708823195,-9358.766679246124
11,2026-04-12T02:44:36,1775954676.9264255,2,10500,583.2970171999768,0.9164971113204956,4.562393665313721,-4.9171142578125,-0.7330198287963867,5e-05,1739,1,-8909.156332235001,43.031617395274516,-8909.156332235001
12,2026-04-12T02:44:36,1775954676.9306722,2,10500,582.3979691999848,0.9163803458213806,4.696059703826904,-5.213391304016113,-0.7332321405410767,5e-05,1739,1,-8944.63088604131,43.385458281018145,-8944.63088604131
01,2026-04-12T02:49:36,1775954976.9510567,2,11500,827.9328489000036,0.8716917634010315,4.564726829528809,-4.994654655456543,-1.1563708782196045,5e-05,2739,1,-8991.541640659523,43.065860061636805,-8991.541640659523
