step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
1189,9829,2024-04-13 09:15:00,0.29919247773049074,10.405304093696484,-0.7662631200990618,0.45,0.0,1.0,1.0,0.0,6557.070199483096,-42.26719689523502,11.626255911042634,29.64929782326623,16.05,11.260831863848935,0.0,0.0,6978.319742031425,6978.319742031425,0.0,6978.319742031425,50.59281812972784,0.029,-0.7662631200990618
1190,9830,2024-04-13 09:30:00,0.0932353227975652,11.503055729488977,-0.7668381022604202,0.45,0.0,0.0,1.0,1.0,0.0,-2106.342278139582,11.303641019534842,29.19839176719813,17.025,12.206697086131285,2541.5243580595725,10345.764174343529,10688.074053221017,10688.074053221018,0.0,10688.074053221017,77.48853688585237,0.029,-0.7668381022604202
1191,9831,2024-04-13 09:45:00,0.10076460807184569,11.462924638977062,-0.7669377619558858,0.45,0.0,0.0,1.0,1.0,0.0,-2127.1329295424453,10.969528425253088,27.99311794910116,18.0,13.160083390679128,2541.5243580595725,9105.16593171904,10709.51110446115,10709.51110446115,0.0,10709.51110446115,77.64395550734334,0.029,-0.7669377619558858
1192,9832,2024-04-13 10:00:00,0.18318980569531065,11.023598335643994,-0.7647341405533965,0.45,0.0,0.0,1.0,1.0,0.0,-2023.7948624784985,10.659626837179916,27.916426442315444,18.5,13.104990788440679,2541.5243580595725,8954.474380163716,10799.55276302607,10799.55276302607,4504.14,6295.412763026069,236.07797861347757,0.15,-0.7647341405533965
1193,9833,2024-04-13 10:15:00,0.22277041061988412,10.812633711396018,-0.7636822726596347,0.45,0.0,0.0,1.0,1.0,0.0,-1877.6417140896103,10.372205042536635,27.889827575087942,19.0,13.025218499025062,2541.5243580595725,8785.815038445866,10808.338120471286,10808.338120471284,0.0,10808.338120471286,78.36045137341682,0.029,-0.7636822726596347
1194,9834,2024-04-13 10:30:00,0.27877803073186846,10.514113096199141,-0.7632196811799398,0.45,0.0,0.0,1.0,1.0,0.0,-1742.0671683875837,10.105632806558054,27.878930685943214,19.5,12.919421476169559,2541.5243580595725,8641.27301564138,10819.660245348363,10819.660245348363,0.0,10819.660245348363,78.44253677877563,0.029,-0.7632196811799398
1195,9835,2024-04-13 10:45:00,0.3307229049135072,10.237246916811007,-0.7629943703549543,0.45,0.0,0.0,1.0,1.0,0.0,-1616.307043716125,9.858397038005382,27.87443491559064,20.0,12.786115662270984,2541.5243580595725,8511.690818761244,10833.939160870987,10833.939160870988,0.0,10833.939160870987,78.54605891631466,0.029,-0.7629943703549543
1196,9836,2024-04-13 11:00:00,0.37889976596902497,9.980464247385097,1.0,0.45,0.0,1.0,1.0,0.0,6469.426759072158,-40.46336372656382,10.779473859843758,28.555476445670507,19.95,12.715701086432611,0.0,0.0,6920.654195734692,6920.654195734691,4838.16,2082.494195734692,43.21175456149486,0.083,1.0
1197,9837,2024-04-13 11:15:00,0.2738818572667486,10.54020970076823,-0.7600252895962244,0.45,0.0,1.0,1.0,0.0,6604.403944656783,-42.61649574882071,11.77295920638625,29.79828174543883,19.9,12.645419540468202,0.0,0.0,6928.071654572862,6928.071654572861,0.0,6928.071654572862,50.22851949565325,0.029,-0.7600252895962244
1198,9838,2024-04-13 11:30:00,0.06587918972149359,11.64886391878444,-0.7596640198594528,0.45,0.0,0.0,1.0,1.0,0.0,-2168.6291100270155,11.440761456016386,29.250913004793368,19.85,12.575270952779343,2541.5243580595725,10495.85570582553,10867.252352759431,10867.252352759431,0.0,10867.252352759431,78.78757955750588,0.029,-0.7596640198594528
