monitor_csv,monitor_index,window_id,window_type,window_start_index,window_start_timestep,row_index,row_offset_from_window_start,timestep,in_core_window,reward,cost_term,energy_term,comfort_term,tes_pbrs_term,tes_teacher_term,tes_tou_alignment_term,tes_valve_penalty,tes_invalid_action_penalty,tes_shaping_total,TES_SOC,tes_valve_target,raw_tes_action,TES_valve_wrapper_position,price_current_norm,price_hours_to_next_peak_norm,raw_tes_action_column,actual_valve_column
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,316,0,317.0,True,-0.6223591999415213,-0.1019817694739649,-0.5203774304675564,0.0,,,,,,,0.83493936,0.4287405014038086,0.4287405014038086,0.4287405,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,317,1,318.0,True,-0.6227268249323336,-0.102053180127326,-0.5206736448050076,0.0,,,,,,,0.8142559,0.2864083051681518,0.2864083051681518,0.2864083,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,318,2,319.0,True,-0.6230414082306839,-0.1021171876176283,-0.5209242206130555,0.0,,,,,,,0.79532653,0.4646806716918945,0.4646806716918945,0.46468067,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,319,3,320.0,True,-0.6233880412529584,-0.102184792113145,-0.5212032491398134,0.0,,,,,,,0.78145397,0.183489441871643,0.183489441871643,0.21468067,-1.0,0.1,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,320,4,321.0,True,-1.0791153831317055,-0.5573664498029414,-0.5217489333287643,0.0,,,,,,,0.77234143,0.5385011434555054,0.5385011434555054,0.46468067,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,321,5,322.0,False,-1.0807630425261987,-0.5582325104975308,-0.5225305320286678,0.0,,,,,,,0.7685294,0.0109610557556152,0.0109610557556152,0.21468067,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,322,6,323.0,False,-1.0821032184989845,-0.5589259057520869,-0.5231773127468976,0.0,,,,,,,0.77213854,0.4078648090362549,0.4078648090362549,0.4078648,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,323,7,324.0,False,-1.0808295368254637,-0.5582538737721436,-0.52257566305332,0.0,,,,,,,0.7831589,0.037021517753601,0.037021517753601,0.15786481,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,324,8,325.0,False,-1.08072767780441,-0.5581762357635908,-0.5225514420408193,0.0,,,,,,,0.7977304,0.4714326858520508,0.4714326858520508,0.4078648,1.2107495,0.0,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,393,-8,394.0,False,-0.6247822254575807,-0.1026153183472638,-0.5221669071103169,0.0,,,,,,,0.50969106,0.4325563907623291,0.4325563907623291,0.4325564,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,394,-7,395.0,False,-0.6270574196452868,-0.1029807004273354,-0.5240767192179514,0.0,,,,,,,0.51876503,0.7205319404602051,0.7205319404602051,0.6825564,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,395,-6,396.0,False,-0.626190974754158,-0.1028338287329266,-0.5233571460212313,0.0,,,,,,,0.5219558,0.3749263286590576,0.3749263286590576,0.4325564,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,396,-5,397.0,False,-0.6265416956600435,-0.102890179662153,-0.5236515159978904,0.0,,,,,,,0.52076113,0.7530498504638672,0.7530498504638672,0.6825564,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_3,low_price_charge_prepeak,401,402.0,397,-4,398.0,False,-0.625693377118142,-0.1027509561405035,-0.5229424209776384,0.0,,,,,,,0.51956886,0.2206352949142456,0.2206352949142456,0.4325564,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
