step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
23,165,2024-01-02 17:15:00,1.0,6.132036910119887,0.0,0.0,0.0,1.0,0.0,0.0,6.133274897364114,25.233649621109073,8.5,2.127946797850147,1030.0206721717022,3425.5029142050253,9284.652305952948,9284.652305952948,0.0,9284.652305952948,67.31372921815888,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
24,166,2024-01-02 17:30:00,1.0,6.13286224727096,0.0,0.0,0.0,1.0,0.0,0.0,6.1341001386400755,25.232945284440262,8.25,1.840743679121912,898.8343819344547,2989.221360200906,9153.464056309942,9153.464056309942,0.0,9153.464056309942,66.36261440824708,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
25,167,2024-01-02 17:45:00,1.0,6.133687520996383,0.0,0.0,0.0,1.0,0.0,0.0,6.134925314084274,25.232251310410245,8.0,1.55606381458665,762.2545119542343,2535.002570928881,9016.882049246284,9016.882049246284,0.0,9016.882049246284,65.37239485703556,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
26,168,2024-01-02 18:00:00,1.0,6.134512729322378,0.0,0.0,0.0,1.0,0.0,0.0,6.1357504241472185,25.231531940282615,7.25,1.1963342883461126,601.6973500466607,2001.043359361524,8856.322682098962,8856.322682098962,0.0,8856.322682098962,349.82474594290903,0.158,0.0,no_control,0.158,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
27,169,2024-01-02 18:15:00,1.0,6.13533787206616,0.0,0.0,0.0,1.0,0.0,0.0,6.136575467734421,25.230826987917567,6.5,0.8195801905627865,425.94628726864624,1416.5543350282715,8680.568890578743,8680.568890578743,0.0,8680.568890578743,62.93412445669589,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
28,170,2024-01-02 18:30:00,1.0,6.136162948908968,0.0,0.0,0.0,1.0,0.0,0.0,6.1374004454716165,25.230148686532875,5.75,0.4264296428307089,239.26060615433488,795.7004415339652,8493.880415685191,8493.880415685191,0.0,8493.880415685191,61.58063301371764,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
29,171,2024-01-02 18:45:00,1.0,6.136987959559527,0.0,0.0,0.0,1.0,0.0,0.0,6.138225358513061,25.229499874145567,5.0,0.017474188127158098,43.37805306257765,144.26083979956286,8297.99511040977,8297.99511040977,0.0,8297.99511040977,60.16046455047084,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
30,172,2024-01-02 19:00:00,1.0,6.137812904961381,0.0,0.0,0.0,1.0,0.0,0.0,6.139045166830016,24.78690788042627,5.0,0.21653058502083197,0.0,0.0,7086.341838907856,7086.341838907856,0.0,7086.341838907856,336.60123734812316,0.19,0.0,no_control,0.19,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
31,173,2024-01-02 19:15:00,1.0,6.138841478035449,0.0,0.0,0.0,1.0,0.0,0.0,6.139850858834439,24.662377648930118,5.0,0.4145175756522574,0.0,0.0,7177.360786606412,7177.360786606414,0.0,7177.360786606412,52.035865702896494,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
32,174,2024-01-02 19:30:00,1.0,6.139448015717482,0.0,0.0,0.0,1.0,0.0,0.0,6.140651135866605,24.61233593486046,5.0,0.6114385857771828,0.0,0.0,7199.91971036844,7199.91971036844,0.0,7199.91971036844,52.19941790017119,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
