step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
385,26593,2024-10-05 00:15:00,0.0,19.380656057615763,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.381055100037727,25.535842713025573,18.85,16.7773821833215,2072.429408583992,6828.0616593996465,9922.906489740115,9922.906489740117,0.0,9922.906489740115,71.94107205061583,0.029,0.0
386,26594,2024-10-05 00:30:00,0.0,19.380922070054385,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.3813223819625,25.575300072988437,18.925,16.6410272228284,2068.9372740538297,6822.297678364092,9924.353235836417,9924.353235836417,0.0,9924.353235836417,71.95156095981403,0.029,0.0
387,26595,2024-10-05 00:45:00,0.0,19.381188741962045,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.381591365808966,25.61960445458922,19.0,16.501815727644427,2066.538018444382,6819.976586615523,9927.472635184025,9927.472635184024,0.0,9927.472635184025,71.97417660508418,0.029,0.0
388,26596,2024-10-05 01:00:00,0.0,19.381456874864362,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.381862261992918,25.63691956576137,19.0,16.501815727644427,2070.5297732811914,6833.5166654695195,9924.86965744528,9924.86965744528,0.0,9924.86965744528,71.95530501647829,0.029,0.0
389,26597,2024-10-05 01:15:00,0.0,19.381726814887767,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.382133898377113,25.642525981287356,19.0,16.501815727644427,2072.478990423689,6839.949805554342,9927.201773923254,9927.201773923254,0.0,9927.201773923254,71.9722128609436,0.029,0.0
390,26598,2024-10-05 01:30:00,0.0,19.381998081173887,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.382405766460796,25.643333828880532,19.0,16.501815727644427,2073.2851807278707,6842.610532751001,9928.269820388115,9928.269820388115,0.0,9928.269820388115,71.97995619781383,0.029,0.0
391,26599,2024-10-05 01:45:00,0.0,19.382269833409314,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.3826776578476,25.6421137556617,19.0,16.501815727644427,2073.620153011335,6843.716065601146,9928.697334229402,9928.697334229402,0.0,9928.697334229402,71.98305567316316,0.029,0.0
392,26600,2024-10-05 02:00:00,0.0,19.382541713131932,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.382949484471396,25.615679419400205,18.85,16.570280299041517,2078.1605450487173,6856.159874383575,9927.711769455937,9927.711769455937,0.0,9927.711769455937,71.97591032855554,0.029,0.0
393,26601,2024-10-05 02:15:00,0.0,19.38281357214597,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.383220151362135,25.578405583142086,18.7,16.635089065789042,2080.6682879146856,6861.783413077852,9928.123054708924,9928.123054708924,0.0,9928.123054708924,71.9788921466397,0.029,0.0
394,26602,2024-10-05 02:30:00,0.0,19.383084818904152,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.383489187846074,25.536737784735152,18.549999999999997,16.69630696988005,2082.0802546004493,6863.880527968129,9927.352437494581,9927.352437494583,0.0,9927.352437494581,71.97330517183572,0.029,0.0
