step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
9238,9238,2024-04-07 05:30:00,0.38612626670833594,9.94194699844457,1.0,1.0,0.0,1.0,172.98037524937908,0.0,9.983089753964556,25.3064855254444,14.850000000000001,14.188027599535458,2018.4793668349566,6712.951379455235,10057.443733632741,10057.443733632741,0.0,10057.443733632741,72.91646706883738,0.029,1.0
9239,9239,2024-04-07 05:45:00,0.38094358542091783,9.969570689706508,1.0,1.0,0.0,1.0,167.5506003957351,0.0,10.00946032539903,25.31645634753818,14.8,14.114171957651354,2020.3648427715611,6719.6201898180325,10063.8216939425,10063.821693942502,0.0,10063.8216939425,72.96270728108313,0.029,1.0
9240,9240,2024-04-07 06:00:00,0.37591829732551274,9.996355475255017,1.0,1.0,0.0,1.0,162.53302560994877,0.0,10.035060592849645,25.32238528037146,14.600000000000001,14.090254211513429,2022.7960197037264,6727.833658174922,10064.653400597552,10064.653400597548,250.32,9814.333400597552,71.15391715433226,0.029,1.0
9241,9241,2024-04-07 06:15:00,0.37104342490488207,10.022338545256979,-0.7712745825923594,1.0,1.0,1.0,358.82682048048514,-1401.5395141084382,9.875733689631204,25.31527616742646,14.4,14.063215128302101,2400.976377306015,7985.800795062977,10597.167572103379,10597.167572103383,0.0,10597.167572103379,76.8294648977495,0.029,-0.7712745825923594
9242,9242,2024-04-07 06:30:00,0.3838813057056586,9.95391264058884,-0.46689726514043145,0.0,1.0,1.0,0.0,-1480.7826775586252,9.647978781636457,24.703216368411585,14.2,14.033114437132392,2560.5838108159664,8590.475218801937,10822.629459568136,10822.629459568136,0.0,10822.629459568136,78.46406358186898,0.029,-0.46689726514043145
9243,9243,2024-04-07 06:45:00,0.43072143771692084,9.704254736968812,1.0,1.0,1.0,1.0,386.0435913722654,-1259.5822450618894,9.514618475025586,24.90008763263207,14.0,13.99999599634643,2270.8209476852617,7553.152945895963,10435.327940090345,10435.327940090343,0.0,10435.327940090345,75.656127565655,0.029,1.0
9244,9244,2024-04-07 07:00:00,0.45402324771105657,9.580056089700069,1.0,1.0,0.0,1.0,246.82900899959995,0.0,9.553148796785282,25.03377272816736,14.0,13.99999599634643,1955.2176762449212,6503.407369408706,9973.467736896157,9973.467736896157,1319.7,8653.767736896156,62.739816092497136,0.029,1.0
9245,9245,2024-04-07 07:15:00,0.46266394766407415,9.534001158950485,0.4929439775727965,1.0,0.0,1.0,248.9891932988707,0.0,9.592015177033812,25.10568994820094,14.0,13.99999599634643,1979.144798994926,6582.993304169935,10003.011900719737,10003.011900719737,0.0,10003.011900719737,72.5218362802181,0.029,0.4929439775727965
9246,9246,2024-04-07 07:30:00,0.45540327670430225,9.572700535166069,0.24271209279513845,1.0,0.0,1.0,244.1027036452526,0.0,9.630133919958048,25.146558725749227,14.0,13.99999599634643,1988.1585650683114,6612.974719242032,10016.793390677018,10016.793390677018,0.0,10016.793390677018,72.62175208240838,0.029,0.24271209279513845
9247,9247,2024-04-07 07:45:00,0.44818183554790075,9.611190816529689,-0.00616066562000924,1.0,0.0,1.0,237.89563487620907,0.0,9.667301090332305,25.171547553338964,14.0,13.99999599634643,1993.970930087686,6632.307695800071,10025.097543969789,10025.09754396979,0.0,10025.097543969789,72.68195719378097,0.029,-0.00616066562000924
9248,9248,2024-04-07 08:00:00,0.44111991164900966,9.648830870910778,1.0,1.0,0.0,1.0,231.35064379089926,0.0,9.703464160541984,25.185579919024374,13.925,13.854189414355073,1998.4939757565594,6647.647795149605,10049.771280719753,10049.771280719753,2753.34,7296.431280719753,273.61617302699074,0.15,1.0
9249,9249,2024-04-07 08:15:00,0.43424147679106856,9.685492928703605,-0.493589612207693,1.0,1.0,1.0,407.68500180111346,-1265.7506774936894,9.572493348415994,25.184127484764744,13.85,13.708550723603704,2344.5690803595885,7798.839204305785,10551.158276711873,10551.158276711873,0.0,10551.158276711873,76.49589750616109,0.029,-0.493589612207693
9250,9250,2024-04-07 08:30:00,0.44338490123423546,9.636758476421525,-0.17442664078183143,0.0,1.0,1.0,0.0,-1340.2647567253441,9.366441011991814,24.634273252420385,13.774999999999999,13.563069664705568,2533.410725827669,8426.610206646626,10836.988239480715,10836.988239480714,0.0,10836.988239480715,78.56816473623519,0.029,-0.17442664078183143
9251,9251,2024-04-07 08:45:00,0.48454906018443117,9.417353509216982,1.0,1.0,1.0,1.0,429.88592226744424,-1142.6502531580475,9.257766114881294,24.81262561048644,13.7,13.417754660626061,2228.358644442123,7411.345772374017,10421.627680281737,10421.62768028174,0.0,10421.627680281737,75.5568006820426,0.029,1.0
9252,9252,2024-04-07 09:00:00,0.5044857347041244,9.311091034027017,1.0,1.0,0.0,1.0,299.3785295119893,0.0,9.304360634443563,24.937808393335924,13.774999999999999,13.420907907296241,1939.1532847724027,6449.438525520829,9978.593394260504,9978.593394260506,3667.74,6310.8533942605045,236.6570022847689,0.15,1.0
9253,9253,2024-04-07 09:15:00,0.5100927780111943,9.281205493200334,1.0,1.0,0.0,1.0,299.62551146914,0.0,9.35099725085107,25.00933464335785,13.85,13.423540226071017,1963.025928027663,6528.849806448014,10008.01082701408,10008.01082701408,0.0,10008.01082701408,72.55807849585209,0.029,1.0
9254,9254,2024-04-07 09:30:00,0.5013468686954706,9.327821189853141,1.0,1.0,0.0,1.0,292.76253471266153,0.0,9.396583008202061,25.05422095674053,13.925,13.425646325441273,1971.7029752942485,6557.719427640224,10023.455521549915,10023.455521549915,0.0,10023.455521549915,72.67005253123689,0.029,1.0
9255,9255,2024-04-07 09:45:00,0.4926962154315661,9.373929171749753,1.0,1.0,0.0,1.0,284.8527565330855,0.0,9.440956168864785,25.08519326026667,14.0,13.427225232261486,1977.6131079925926,6577.383957108911,10032.501577822282,10032.501577822282,0.0,10032.501577822282,72.73563643921155,0.029,1.0
9256,9256,2024-04-07 10:00:00,0.48425798640987877,9.418904932435346,1.0,1.0,0.0,1.0,276.79618986019,0.0,9.484093604517193,25.10605142377064,14.0,13.571495479255997,1982.4426211494856,6593.980765331204,10020.854974968322,10020.854974968322,4424.28,5596.574974968323,209.8715615613121,0.15,1.0
9257,9257,2024-04-07 10:15:00,0.47604944433263263,9.462656461707068,1.0,1.0,0.0,1.0,268.55231512496346,0.0,9.525966137011272,25.121467739705462,14.0,13.715043317065614,1986.3244141800371,6607.182884267961,10018.481097721202,10018.481097721204,0.0,10018.481097721202,72.63398795847871,0.029,1.0
9258,9258,2024-04-07 10:30:00,0.46807549946020427,9.505157587877111,1.0,1.0,0.0,1.0,260.32685331137577,0.0,9.566576350351816,25.13388311400486,14.0,13.857874699444935,1989.6979159034934,6618.406424107254,10015.846573685383,10015.846573685383,0.0,10015.846573685383,72.61488765921904,0.029,1.0
9259,9259,2024-04-07 10:45:00,0.46033862837654016,9.546395110753041,1.0,1.0,0.0,1.0,252.23597399287388,0.0,9.605944757401682,25.144546355256953,14.0,13.99999599634643,1992.8122380329821,6628.482810103988,10012.960460594944,10012.960460594944,0.0,10012.960460594944,72.59396333931335,0.029,1.0
9260,9260,2024-04-07 11:00:00,0.4528366541360154,9.586380633455038,1.0,1.0,0.0,1.0,244.45100176309288,0.0,9.644118209572266,25.152796628574514,14.275,14.083787780704856,1995.9689557579397,6638.665878590064,10017.174638409471,10017.174638409468,4747.5,5269.674638409471,109.34574874699653,0.083,1.0
9261,9261,2024-04-07 11:15:00,0.44556324231559263,9.625147918457891,1.0,1.0,0.0,1.0,236.81903842945027,0.0,9.681120076189252,25.159650092113974,14.55,14.163160983182294,1998.8738560212532,6647.945467889399,10017.546157444925,10017.54615744493,0.0,10017.546157444925,72.62720964147572,0.029,1.0
9262,9262,2024-04-07 11:30:00,0.43851181904175446,9.662732004507449,1.0,1.0,0.0,1.0,229.37285949181904,0.0,9.716978799713004,25.165645475058376,14.825,14.23801459330404,2001.6075162561592,6656.594007885465,10017.79497981955,10017.794979819551,0.0,10017.79497981955,72.62901360369173,0.029,1.0
9263,9263,2024-04-07 11:45:00,0.4316775210184625,9.699158812971595,1.0,1.0,0.0,1.0,222.13182773050934,0.0,9.751725819470918,25.17106111869151,15.1,14.308263622618519,2004.2211769691303,6664.796809709314,10018.126837755039,10018.12683775504,0.0,10018.126837755039,72.63141957372403,0.029,1.0
9264,9264,2024-04-07 12:00:00,0.42505472910203446,9.734458293886156,0.9636427497094697,1.0,0.0,1.0,214.84819910668878,0.0,9.785354579645707,25.178771217275916,15.075,14.333897503707796,2006.1050959093636,6670.842805978373,10022.516073538845,10022.516073538847,4710.18,5312.336073538845,38.514436533156626,0.029,0.9636427497094697
9265,9265,2024-04-07 12:15:00,0.4186411307475749,9.768642773115426,-0.7712568686176591,1.0,1.0,1.0,395.5404688654547,-1299.2843860734465,9.647367951531473,25.17753047849136,15.05,14.35938146083391,2359.116173266965,7844.4596875401385,10514.181544542223,10514.181544542223,0.0,10514.181544542223,76.22781619793112,0.029,-0.7712568686176591
9266,9266,2024-04-07 12:30:00,0.4286912540868475,9.715075615717103,-0.6850269055170304,0.0,1.0,1.0,0.0,-1374.9627536166809,9.435955449353498,24.61914779298258,15.025,14.3847021135474,2545.8665886011995,8465.14840234126,10783.979878951992,10783.979878951992,0.0,10783.979878951992,78.18385412240194,0.029,-0.6850269055170304
9267,9267,2024-04-07 12:45:00,0.4712584236904014,9.48819260173016,0.794202322008914,1.0,1.0,1.0,418.7183229303503,-1171.5124304269655,9.321133489608222,24.806876806340625,15.0,14.409869630373553,2238.806766635042,7443.928016201372,10360.241866837792,10360.241866837792,0.0,10360.241866837792,75.11175353457399,0.029,0.794202322008914
9268,9268,2024-04-07 13:00:00,0.4920310197748887,9.377474664599843,1.0,1.0,0.0,1.0,286.50762678584687,0.0,9.3657518086804,24.934578479878716,15.25,14.655541336295563,1944.6239672487948,6463.423314979149,9908.054489575634,9908.054489575634,4197.24,5710.814489575634,118.49940065869441,0.083,1.0
9269,9269,2024-04-07 13:15:00,0.49839048022582527,9.343578740396351,1.0,1.0,0.0,1.0,287.487862785615,0.0,9.410524830714712,25.004227128333383,15.5,14.901211804793396,1970.10449230539,6544.759047850714,9928.604054833946,9928.604054833948,0.0,9928.604054833946,71.98237939754611,0.029,1.0
9270,9270,2024-04-07 13:30:00,0.49000471237176924,9.38827488305847,1.0,1.0,0.0,1.0,281.2616355801525,0.0,9.454344583380516,25.04496947403438,15.75,15.146886374492283,1980.4908385155513,6575.053040412391,9935.293355183938,9935.293355183936,0.0,9935.293355183938,72.03087682508355,0.029,1.0
9271,9271,2024-04-07 13:45:00,0.48169449098338113,9.432568363058579,1.0,1.0,0.0,1.0,273.86555808694055,0.0,9.49703035255367,25.070584546877363,16.0,15.392562826057274,1988.1534000972479,6595.42868796894,9935.999025354486,9935.999025354486,0.0,9935.999025354486,72.03599293382003,0.029,1.0
9272,9272,2024-04-07 14:00:00,0.47358017534526803,9.475817665409721,1.0,1.0,0.0,1.0,265.89746917817433,0.0,9.538493730048769,25.088949986115278,16.25,15.405310032857317,1992.690777189452,6609.840951962352,9955.856742197398,9955.856742197398,3149.7,6806.156742197399,141.22775240059602,0.083,1.0
9273,9273,2024-04-07 14:15:00,0.4656869586304102,9.517888510499914,0.5968304783522961,1.0,0.0,1.0,257.83573570082433,0.0,9.578720032407402,25.103433358252364,16.5,15.412700374206342,1996.2734571852168,6621.5478019719085,9961.123760985865,9961.123760985865,0.0,9961.123760985865,72.21814726714753,0.029,0.5968304783522961
9274,9274,2024-04-07 14:30:00,0.4580244695352315,9.558729577377216,0.3325373245518866,1.0,0.0,1.0,249.8530705892787,0.0,9.617721218027292,25.115776758898203,16.75,15.414608039968922,1999.3662856571398,6631.754349396316,9965.446220582116,9965.446220582116,0.0,9965.446220582116,72.24948509922035,0.029,0.3325373245518866
9275,9275,2024-04-07 14:45:00,0.4505929484477926,9.598339584773266,0.07627142137389617,1.0,0.0,1.0,242.03000823480693,0.0,9.655521677969134,25.1268807657555,17.0,15.410898085460078,2002.146878975174,6641.053963006146,9969.593462045768,9969.593462045768,0.0,9969.593462045768,72.27955259983182,0.029,0.07627142137389617
9276,9276,2024-04-07 15:00:00,0.44338897836029406,9.636736745339633,1.0,1.0,0.0,1.0,234.56354531136887,0.0,9.692176066253126,25.135676604902,17.25,15.594776138160135,2006.3615876862482,6650.889854875475,9955.866090893835,9955.866090893835,2251.02,7704.846090893834,159.87555638604707,0.083,1.0
9277,9277,2024-04-07 15:15:00,0.43640512684339683,9.673960673924695,-0.41981402305194304,1.0,1.0,1.0,409.8071548387075,-1261.1427951881178,9.562236624222091,25.133407073477862,17.5,15.777748614440073,2353.451189946328,7795.735809804242,10416.530699707015,10416.530699707015,0.0,10416.530699707015,75.51984757287586,0.029,-0.41981402305194304
9278,9278,2024-04-07 15:30:00,0.4454041881454435,9.625995677184786,-0.10573458378843335,0.0,1.0,1.0,0.0,-1335.5107115396881,9.35691640703391,24.587116210464817,17.75,15.95982242866707,2544.5628073282633,8421.57696699925,10696.850499603468,10696.850499603468,0.0,10696.850499603468,77.55216612212514,0.029,-0.10573458378843335
9279,9279,2024-04-07 15:45:00,0.4863699904682864,9.407647950804034,1.0,1.0,1.0,1.0,431.6531359911185,-1138.702891204078,9.249116859570494,24.766554418440045,18.0,16.14098511270206,2240.2941627882915,7408.565702333935,10262.297106758268,10262.297106758268,0.0,10262.297106758268,74.40165402399744,0.029,1.0
