step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
2558,2558,2024-01-27 15:30:00,1.0,6.450127400007694,0.13095265023841662,0.45,0.0,1.0,0.0,0.0,-570.1444668289528,0.0,6.310865153111637,24.941085393609516,2.9499999999999997,0.6723702425243505,0.0,0.0,7259.349266958246,7259.349266958244,0.0,7259.349266958246,52.630282185447285,0.029,0.13095265023841662
2559,2559,2024-01-27 15:45:00,1.0,6.352036059512692,0.11314844238711093,0.45,0.0,1.0,0.0,0.0,-443.659981959567,0.0,6.243692105511604,24.856115773529446,2.9,0.6048587769727647,0.0,0.0,7235.1275421415485,7235.1275421415485,0.0,7235.1275421415485,52.45467468052623,0.029,0.11314844238711093
2560,2560,2024-01-27 16:00:00,1.0,6.275643727563853,0.08770115178825165,0.45,0.0,1.0,0.0,0.0,-345.1440171917935,0.0,6.191614311116113,24.78936589150237,2.8,0.48136430402129426,0.0,0.0,7208.944806731914,7208.944806731913,347.34,6861.604806731913,142.3782997396872,0.083,0.08770115178825165
2561,2561,2024-01-27 16:15:00,1.0,6.2163857081529414,0.05893984533546158,0.45,0.0,1.0,0.0,0.0,-268.6082351649655,0.0,6.151263263020993,24.737352661868677,2.7,0.35813980572762943,0.0,0.0,7187.625845986112,7187.625845986111,0.0,7187.625845986112,52.11028738339932,0.029,0.05893984533546158
2562,2562,2024-01-27 16:30:00,1.0,6.170456701437563,0.025775279870948572,0.45,0.0,1.0,0.0,0.0,-209.30801136599632,0.0,6.119997817525524,24.69693630177586,2.6,0.23517738110717365,0.0,0.0,7169.922436530861,7169.922436530861,0.0,7169.922436530861,51.98193766484874,0.029,0.025775279870948572
2563,2563,2024-01-27 16:45:00,1.0,6.134869586178379,-0.0,0.45,0.0,1.0,0.0,0.0,-163.36411316803563,0.0,6.095771410052731,24.665556821403875,2.5,0.11248650435813073,0.0,0.0,7154.944465376238,7154.9444653762375,0.0,7154.944465376238,51.87334737397773,0.029,-0.0
2564,2564,2024-01-27 17:00:00,1.0,6.107294980068672,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.09657371571085,24.599246652354104,2.5,0.1020735807699961,0.0,0.0,7151.172005105388,7151.172005105388,0.0,7151.172005105388,282.47129420166283,0.158,-0.0
2565,2565,2024-01-27 17:15:00,1.0,6.096172565758562,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.097373122019537,24.572287949234727,2.5,0.09170952926810885,0.0,0.0,7147.388113723178,7147.388113723178,0.0,7147.388113723178,51.81856382449305,0.029,-0.0
2566,2566,2024-01-27 17:30:00,1.0,6.096973421722868,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.098171329276543,24.56416466849755,2.5,0.08139801187658972,0.0,0.0,7144.982795913866,7144.9827959138665,0.0,7144.982795913866,51.80112527037553,0.029,-0.0
2567,2567,2024-01-27 17:45:00,1.0,6.097772228536139,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.0989691513227555,24.56154224838622,2.5,0.071137134558405,0.0,0.0,7143.602026222727,7143.602026222727,0.0,7143.602026222727,51.79111469011477,0.029,-0.0
2568,2568,2024-01-27 18:00:00,1.0,6.098570243149144,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.099766825836046,24.560582981504712,2.3,0.39216176688746823,0.0,0.0,7171.679991733154,7171.679991733154,0.0,7171.679991733154,283.2813596734596,0.158,-0.0
2569,2569,2024-01-27 18:15:00,1.0,6.099367991446953,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.100564424677824,24.560165311887204,2.1,0.6996018467894711,0.0,0.0,7204.973282368114,7204.973282368114,0.0,7204.973282368114,52.23605629716883,0.029,-0.0
2570,2570,2024-01-27 18:30:00,1.0,6.100165628124568,-0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.101361971251638,24.561115886582062,1.9,0.9939146323220084,0.0,0.0,7245.993146315363,7245.9931463153625,0.0,7245.993146315363,52.533450310786385,0.029,-0.0
