step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
1990,1990,2024-01-21 17:30:00,0.33304006477428394,10.224896454753067,-0.7687798805691198,0.45,0.0,0.0,1.0,1.0,0.0,-1634.0179609467423,10.001236594310415,25.327595549130844,9.125,5.0977597096488445,2541.5243580595725,8553.004455436958,10867.911225835482,10867.91122583548,0.0,10867.911225835482,78.79235638730725,0.029,-0.7687798805691198,default_mpc,0.029,0.0,0.33304006477428394,-0.7687798805691198,0.0,10297.768525580605,optimal_relaxed_modes,0.001049000013154,False,,3459.509462561039,-0.7687798805691198
1991,1991,2024-01-21 17:45:00,0.37207491635546347,10.01684069582538,-0.7688718144932027,0.45,0.0,0.0,1.0,1.0,0.0,-1537.7078929027243,9.761480355800414,25.255051519787077,8.5,4.752207006472434,2541.5243580595725,8452.338432408778,10834.034215337566,10834.034215337566,0.0,10834.034215337566,78.54674806119736,0.029,-0.7688718144932027,default_mpc,0.029,0.0,0.37207491635546347,-0.7688718144932027,0.0,10297.768525580605,optimal_relaxed_modes,0.0011797999904956669,False,,3459.923165219412,-0.7688718144932027
1992,1992,2024-01-21 18:00:00,0.4090196657160908,9.819925181733236,0.3947979648116555,0.45,0.0,1.0,1.0,0.0,-78.53947691294294,6.055764244318717,9.85882684918099,28.255517423176965,8.375,4.684079539679968,0.0,0.0,7158.75826231024,7158.758262310239,0.0,7158.75826231024,282.7709513612545,0.158,0.3947979648116555,default_mpc,0.158,0.0,0.4090196657160908,0.3947979648116555,0.0,5060.901861644056,optimal_relaxed_modes,0.0018921000009868294,False,,-1776.5908416524499,0.3947979648116555
1993,1993,2024-01-21 18:15:00,0.4015838774714673,9.85955793307708,-0.7690228158872879,0.45,0.0,1.0,1.0,0.0,-433.11568838255647,9.440631468844234,9.803506821869144,28.285670357487117,8.25,4.6155458076380755,0.0,0.0,7236.945139247091,7236.94513924709,0.0,7236.945139247091,52.46785225954141,0.029,-0.7690228158872879,default_mpc,0.029,0.0,0.4015838774714673,-0.7690228158872879,0.0,10297.768525580605,optimal_relaxed_modes,0.0013173999905120581,False,,3460.6026714927957,-0.7690228158872879
1994,1994,2024-01-21 18:30:00,0.4091805958202957,9.819067424277824,-0.7690912785911944,0.45,0.0,0.0,1.0,1.0,0.0,-1437.6635841946616,9.600277906055773,25.313866924083975,8.125,4.5466048781733654,2391.50816536204,7953.353181272049,10705.686260700983,10705.686260700983,0.0,10705.686260700983,77.61622539008212,0.029,-0.7690912785911944,default_mpc,0.029,0.0,0.4091805958202957,-0.7690912785911944,0.0,10297.768525580605,optimal_relaxed_modes,0.0010682999854907393,False,,3460.910753660375,-0.7690912785911944
1995,1995,2024-01-21 18:45:00,0.4472879108224751,9.615955435316208,0.15642233067982853,0.45,0.0,1.0,1.0,0.0,-121.08656479138573,6.162776152494522,9.681157225511278,28.07952245873981,8.0,4.477260950709048,0.0,0.0,7160.550473545553,7160.550473545552,0.0,7160.550473545553,51.91399093320526,0.029,0.15642233067982853,default_mpc,0.029,0.0,0.4472879108224751,0.15642233067982853,0.0,6132.668367611824,optimal_relaxed_modes,0.0013626000145450234,False,,-703.9004880592283,0.15642233067982853
1996,1996,2024-01-21 19:00:00,0.43474291148387045,9.68282028179097,1.0,0.45,0.0,1.0,0.0,0.0,-287.1102921892089,0.0,9.63786751663673,28.115514354526198,8.0,4.563675037934163,0.0,0.0,7180.943369154752,7180.943369154752,0.0,7180.943369154752,341.0948100348507,0.19,1.0,default_mpc,0.19,0.0,0.43474291148387045,1.0,0.0,2336.3186153061033,optimal_relaxed_modes,0.0013378000003285706,False,,-4500.0,1.0
1997,1997,2024-01-21 19:15:00,0.4411975045022643,9.648417301002931,0.17269855852157465,0.45,0.0,1.0,0.0,0.0,-174.62221623310464,0.0,9.61187780981096,28.110784548626523,8.0,4.649863363024788,0.0,0.0,7179.017075046895,7179.017075046896,0.0,7179.017075046895,52.047873794089995,0.029,0.17269855852157465,default_mpc,0.029,0.0,0.4411975045022643,0.17269855852157465,0.0,6058.951445837568,optimal_relaxed_modes,0.001066900003934279,False,,-777.1435133470859,0.17269855852157465
1998,1998,2024-01-21 19:30:00,0.44573357887389936,9.624240024602116,0.5632115016111047,0.45,0.0,1.0,0.0,0.0,-17.385099189029063,0.0,9.610011052042795,28.100602634964513,8.0,4.7358315301391976,0.0,0.0,7170.028325544487,7170.028325544487,0.0,7170.028325544487,51.982705360197535,0.029,0.5632115016111047,default_mpc,0.029,0.0,0.44573357887389936,0.5632115016111047,0.0,4301.442045390723,optimal_relaxed_modes,0.0012353999773040414,False,,-2534.451757249971,0.5632115016111047
1999,1999,2024-01-21 19:45:00,0.44823658713712106,9.610898990559145,0.8829973212093343,0.45,0.0,1.0,0.0,0.0,111.23181186840684,0.0,9.627875067453822,28.102732948416982,8.0,4.82157314469464,0.0,0.0,7160.439879075144,7160.439879075143,0.0,7160.439879075144,51.91318912329479,0.029,0.8829973212093343,default_mpc,0.029,0.0,0.44823658713712106,0.8829973212093343,0.0,2862.2250079816367,optimal_relaxed_modes,0.0009787000017240644,False,,-3973.4879454420043,0.8829973212093343
2000,2000,2024-01-21 20:00:00,0.446645796775238,9.619377903187981,1.0,0.45,0.0,1.0,0.0,0.0,-182.68838897808692,0.0,9.60064789640148,28.100428871112474,7.5,4.472529292572053,0.0,0.0,7204.7157749464095,7204.7157749464095,0.0,7204.7157749464095,342.2239993099545,0.19,1.0,default_mpc,0.19,0.0,0.446645796775238,1.0,0.0,2335.4776946069596,optimal_relaxed_modes,0.0011069000174757093,False,,-4500.0,1.0
2001,2001,2024-01-21 20:15:00,0.4477300710411582,9.613598721350627,1.0,0.45,0.0,1.0,0.0,0.0,-638.1519463065434,0.0,9.503549620464032,28.05862524203371,7.0,4.118970996950769,0.0,0.0,7252.879129821311,7252.87912982131,0.0,7252.879129821311,52.58337369120451,0.029,1.0,default_mpc,0.029,0.0,0.4477300710411582,1.0,0.0,2121.9632113813605,optimal_relaxed_modes,0.0010426999942865223,False,,-4500.0,1.0
2002,2002,2024-01-21 20:30:00,0.4597119688074222,9.54973520625644,1.0,0.45,0.0,1.0,0.0,0.0,-1016.7424130479411,0.0,9.348379979404644,27.96099144591475,6.5,3.7609790794089344,0.0,0.0,7302.744105630166,7302.744105630167,0.0,7302.744105630166,52.9448947658187,0.029,1.0,default_mpc,0.029,0.0,0.4597119688074222,1.0,0.0,1636.2121862843424,optimal_relaxed_modes,0.0016383000183850527,False,,-4500.0,1.0
2003,2003,2024-01-21 20:45:00,0.48364208299334,9.422187697645498,1.0,0.45,0.0,1.0,0.0,0.0,-1317.7610871742336,0.0,9.147047048764234,27.810323202564117,6.0,3.3986237006483244,0.0,0.0,7353.167880434721,7353.167880434721,0.0,7353.167880434721,53.31046713315173,0.029,1.0,default_mpc,0.029,0.0,0.48364208299334,1.0,0.0,1086.386240905208,optimal_relaxed_modes,0.001646700024139136,False,,-4500.0,1.0
2004,2004,2024-01-21 21:00:00,0.517295919996342,9.242812746419498,1.0,0.45,0.0,1.0,0.0,0.0,-1230.8412730976693,0.0,8.95906353548715,27.63180161882238,6.0,3.393900741599909,0.0,0.0,7322.61436546119,7322.614365461189,0.0,7322.61436546119,289.243267435717,0.158,1.0,default_mpc,0.158,0.0,0.517295919996342,1.0,0.0,865.6545617928668,optimal_relaxed_modes,0.0013168000150471926,False,,-4500.0,1.0
2005,2005,2024-01-21 21:15:00,0.5537561899489799,9.048479507571937,1.0,0.45,0.0,1.0,0.0,0.0,-979.8375981896363,0.0,8.809590768452063,27.461450648774125,6.0,3.3891590474240743,0.0,0.0,7294.996564539901,7294.996564539899,0.0,7294.996564539901,52.888725092914285,0.029,1.0,default_mpc,0.029,0.0,0.5537561899489799,1.0,0.0,780.7965461131289,optimal_relaxed_modes,0.001120400003856048,False,,-4500.0,1.0
2006,2006,2024-01-21 21:30:00,0.5852366227464865,8.880688800761227,1.0,0.45,0.0,1.0,0.0,0.0,-768.9148168169955,0.0,8.692473450817591,27.317792211341935,6.0,3.384397420800933,0.0,0.0,7272.439134740086,7272.439134740084,0.0,7272.439134740086,52.72518372686562,0.029,1.0,default_mpc,0.029,0.0,0.5852366227464865,1.0,0.0,744.9411437729659,optimal_relaxed_modes,0.0015573000127915293,False,,-4500.0,1.0
2007,2007,2024-01-21 21:45:00,0.6100973082686186,8.748181346928263,1.0,0.45,0.0,1.0,0.0,0.0,-604.2748865074843,0.0,8.600608876020877,27.20224617678959,6.0,3.379619660782712,0.0,0.0,7254.843783568603,7254.843783568603,0.0,7254.843783568603,52.597617430872376,0.029,1.0,default_mpc,0.029,0.0,0.6100973082686186,1.0,0.0,726.9099139146138,optimal_relaxed_modes,0.0012627000105567276,False,,-4500.0,1.0
2008,2008,2024-01-21 22:00:00,0.6295862869868392,8.644305090360147,1.0,0.45,0.0,1.0,0.0,0.0,-587.0262157573787,0.0,8.511391553188604,27.104996024765057,5.75,3.2525630873935176,0.0,0.0,7262.587834020769,7262.58783402077,0.0,7262.587834020769,150.69869755593098,0.083,1.0,default_mpc,0.083,0.0,0.6295862869868392,1.0,0.0,594.6672454598202,optimal_relaxed_modes,0.0016574000183027238,False,,-4500.0,1.0
2009,2009,2024-01-21 22:15:00,0.6465612408628548,8.553828586200984,1.0,0.45,0.0,1.0,0.0,0.0,-638.7541065177213,0.0,8.414244538199187,27.01188677820293,5.5,3.123061557122108,0.0,0.0,7271.812533095899,7271.812533095899,0.0,7271.812533095899,52.720640864945274,0.029,1.0,default_mpc,0.029,0.0,0.6465612408628548,1.0,0.0,412.798586544066,optimal_relaxed_modes,0.0011323999788146466,False,,-4500.0,1.0
2010,2010,2024-01-21 22:30:00,0.6640800356455243,8.460453410009356,1.0,0.45,0.0,1.0,0.0,0.0,-687.8978384810597,0.0,8.309565453188283,26.914763997141435,5.25,2.9911543902280138,0.0,0.0,7281.451895182614,7281.451895182614,0.0,7281.451895182614,52.79052624007395,0.029,1.0,default_mpc,0.029,0.0,0.6640800356455243,1.0,0.0,210.43874398652497,optimal_relaxed_modes,0.0010970000002998859,False,,-4500.0,1.0
2011,2011,2024-01-21 22:45:00,0.6830474609163244,8.359357033315991,0.9995771836258348,0.45,0.0,1.0,0.0,0.0,-729.8898412448111,0.0,8.198451925775984,26.81155124178531,5.0,2.8568738219290353,0.0,0.0,7291.085259702463,7291.085259702463,0.0,7291.085259702463,52.86036813284286,0.029,0.9995771836258348,default_mpc,0.029,0.0,0.6830474609163244,0.9995771836258348,0.0,0.0,optimal_relaxed_modes,0.0016547000268474221,False,,-4498.097326316257,0.9995771836258348
2012,2012,2024-01-21 23:00:00,0.7033200526134239,8.25130411957045,0.9589227838293884,0.45,0.0,1.0,0.0,0.0,-733.2021851598681,0.0,8.086835476754041,26.704066422781263,4.825,2.756475096153906,0.0,0.0,7293.214784858288,7293.214784858287,0.0,7293.214784858288,151.3342067858095,0.083,0.9589227838293884,default_mpc,0.083,0.0,0.7033200526134239,0.9589227838293884,0.0,0.0,optimal_relaxed_modes,0.0011177999840583652,False,,-4315.152527232248,0.9589227838293884
2013,2013,2024-01-21 23:15:00,0.7242163410885752,8.139926901997894,0.9207341164777266,0.45,0.0,1.0,0.0,0.0,-719.5727179425129,0.0,7.9773135709217895,26.595730469191018,4.65,2.654846016718332,0.0,0.0,7295.51182594962,7295.51182594962,0.0,7295.51182594962,52.89246073813475,0.029,0.9207341164777266,default_mpc,0.029,0.0,0.7242163410885752,0.9207341164777266,0.0,0.0,optimal_relaxed_modes,0.001440699998056516,False,,-4143.30352414977,0.9207341164777266
2014,2014,2024-01-21 23:30:00,0.7449514599122651,8.029408718667627,0.8831502971792213,0.45,0.0,1.0,0.0,0.0,-709.1998428734473,0.0,7.869386532874234,26.488412971434094,4.475,2.5519957327286016,0.0,0.0,7298.248835103578,7298.248835103578,0.0,7298.248835103578,52.91230405450094,0.029,0.8831502971792213,default_mpc,0.029,0.0,0.7449514599122651,0.8831502971792213,0.0,0.0,optimal_relaxed_modes,0.0013741000148002058,False,,-3974.176337306496,0.8831502971792213
2015,2015,2024-01-21 23:45:00,0.7653427621175631,7.920723077913388,0.8454993392904606,0.45,0.0,1.0,0.0,0.0,-702.8276718823963,0.0,7.762440794115433,26.38233459618771,4.3,2.447938591181536,0.0,0.0,7301.50163734454,7301.50163734454,0.0,7301.50163734454,52.935886870747915,0.029,0.8454993392904606,default_mpc,0.029,0.0,0.7653427621175631,0.8454993392904606,0.0,0.0,optimal_relaxed_modes,0.0010360000014770776,False,,-3804.747026807073,0.8454993392904606
