step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
10,152,2024-01-02 14:00:00,1.0,6.4428411139552555,0.712836142579191,1.0,0.0,0.0,857.5670064967412,0.0,6.637557925534678,25.084736424053204,9.15,2.242842100063941,0.0,0.0,7133.133510803838,7133.133510803837,307.86,6825.273510803839,141.62442534917966,0.083,0.712836142579191
11,153,2024-01-02 14:15:00,1.0,6.574673400143846,0.7615956154702027,1.0,0.0,0.0,845.8861874797321,0.0,6.7679784481635625,25.211101590062448,9.3,2.366123912822236,0.0,0.0,7131.789909309573,7131.789909309571,0.0,7131.789909309573,51.705476842494406,0.029,0.7615956154702027
12,154,2024-01-02 14:30:00,0.9932565687426828,6.705942488601501,0.8079965319598638,1.0,0.0,0.0,835.4348528231046,0.0,6.8968035142624275,25.337973731551806,9.45,2.4893150971239573,0.0,0.0,7130.868982852134,7130.868982852133,0.0,7130.868982852134,51.69880012567797,0.029,0.8079965319598638
13,155,2024-01-02 14:45:00,0.9689443775753469,6.835526467523401,0.8534201589974213,1.0,0.0,0.0,827.145197045461,0.0,7.024364270392397,25.463939405924638,9.6,2.6124181038551417,0.0,0.0,7129.970066336687,7129.970066336687,0.0,7129.970066336687,51.69228298094098,0.029,0.8534201589974213
14,156,2024-01-02 15:00:00,0.9448989451322307,6.96368862244521,0.8558355611539016,1.0,0.0,0.0,644.004685990895,0.0,7.123862582979783,25.579835171575706,9.7,2.5405933932013514,0.0,0.0,7154.133442692571,7154.1334426925705,93.72,7060.413442692571,146.50357893587085,0.083,0.8558355611539016
15,157,2024-01-02 15:15:00,0.9237269885596153,7.07653515097725,0.8397415221843978,1.0,0.0,0.0,399.4852714047485,0.0,7.185888409970904,25.670840784282188,9.8,2.4661981946758518,0.0,0.0,7177.340929146308,7177.340929146307,0.0,7177.340929146308,52.035721736310734,0.029,0.8397415221843978
16,158,2024-01-02 15:30:00,0.9087457465646954,7.156385170810173,0.8162307591065151,1.0,0.0,0.0,197.37051008184878,0.0,7.216938572839603,25.730820359474254,9.9,2.389185840563285,0.0,0.0,7198.507673311171,7198.50767331117,0.0,7198.507673311171,52.18918063150599,0.029,0.8162307591065151
17,159,2024-01-02 15:45:00,0.9001558654645097,7.2021692370741635,0.7893516791821337,1.0,0.0,0.0,36.24459651166883,0.0,7.223294111664751,25.762086555776172,10.0,2.3095091409082866,0.0,0.0,7217.296898619855,7217.296898619855,0.0,7217.296898619855,52.32540251499395,0.029,0.7893516791821337
18,160,2024-01-02 16:00:00,0.8967596560734906,7.220271033128295,0.8033408219793254,1.0,0.0,0.0,85.37390067206131,0.0,7.2371809507289235,25.778334209138357,9.75,2.4234363573911333,0.0,0.0,7200.229437020718,7200.229437020717,26.28,7173.9494370207185,148.8594508181799,0.083,0.8033408219793254
19,161,2024-01-02 16:15:00,0.8948263544983109,7.2305755305240025,0.8325371038659062,1.0,0.0,0.0,214.41636494929097,0.0,7.270846825261381,25.798683136619733,9.5,2.527970802827744,0.0,0.0,7186.464985237931,7186.464985237929,0.0,7186.464985237931,52.101871142975,0.029,0.8325371038659062
20,162,2024-01-02 16:30:00,0.8902751781470456,7.254833300476247,0.8652580029498897,1.0,0.0,0.0,310.20103648394894,0.0,7.319194037214893,25.83205812906265,9.25,2.6233979214223253,0.0,0.0,7176.362570216784,7176.362570216783,0.0,7176.362570216784,52.02862863407169,0.029,0.8652580029498897
21,163,2024-01-02 16:45:00,0.8825145998959606,7.29619718255453,0.8972533275409635,1.0,0.0,0.0,371.9257383151366,0.0,7.3770025607648755,25.877841813098204,9.0,2.7099961947611817,0.0,0.0,7169.508528047749,7169.508528047748,0.0,7169.508528047749,51.97893682834618,0.029,0.8972533275409635
22,164,2024-01-02 17:00:00,0.8725130698933322,7.349505337468539,0.8462080929357882,1.0,0.0,0.0,71.34646526126723,0.0,7.388738402855951,25.915423551993058,8.75,2.417691517676255,0.0,0.0,7222.758122866765,7222.758122866765,0.0,7222.758122866765,285.2989458532372,0.158,0.8462080929357882
