step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
1604,18980,2024-07-17 17:00:00,0.0,16.97892689706706,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.979482120885073,25.52812761672705,25.05,24.257061618038847,2292.2551830394073,6829.259629727408,9978.00353464995,9978.00353464995,224.82,9753.18353464995,402.31882080431046,0.165,0.0
1605,18981,2024-07-17 17:15:00,0.0,16.97929714781816,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.979853028988792,25.56641153622618,25.1,24.273211231796235,2290.185904350701,6820.897582690205,9975.656843836741,9975.656843836745,0.0,9975.656843836741,72.32351211781638,0.029,0.0
1606,18982,2024-07-17 17:30:00,0.0,16.979667576287845,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98022558211081,25.611423269946414,25.15,24.289187360457408,2289.7813083727265,6817.5174440371975,9975.38508442266,9975.38508442266,0.0,9975.38508442266,72.3215418620643,0.029,0.0
1607,18983,2024-07-17 17:45:00,0.0,16.98003930690405,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.980600072088507,25.659507074327138,25.2,24.30499809121057,2290.0640284472097,6816.204500109037,9975.942528600934,9975.942528600934,0.0,9975.942528600934,72.32558333235677,0.029,0.0
1608,18984,2024-07-17 18:00:00,0.0,16.980412828460132,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.980976632127703,25.6396810642897,25.15,24.289187360457408,2300.791954108561,6850.008611909167,9989.098488700076,9989.098488700076,48.06,9941.038488700076,410.06783765887815,0.165,0.0
1609,18985,2024-07-17 18:15:00,0.0,16.9807883534686,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98135231567032,25.59056869912774,25.1,24.273211231796235,2305.30995907821,6865.646815843076,9994.111007329531,9994.111007329533,0.0,9994.111007329531,72.45730480313911,0.029,0.0
1610,18986,2024-07-17 18:30:00,0.0,16.98116447524982,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.981725852079464,25.529668412641602,25.05,24.257061618038847,2306.610831321721,6871.731052524497,9995.278120891615,9995.278120891615,0.0,9995.278120891615,72.46576637646422,0.029,0.0
1611,18987,2024-07-17 18:45:00,0.0,16.98153908523449,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.982096729993977,25.464035212442525,25.0,24.240745212351978,2306.5769822851175,6873.861063262255,9994.854726829895,9994.854726829895,0.0,9994.854726829895,72.46269676951674,0.029,0.0
1612,18988,2024-07-17 19:00:00,0.0,16.98191129237309,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98246474417474,25.43037051622184,25.0,24.240745212351978,2301.094121248109,6857.670795666496,9987.80627355842,9987.80627355842,0.0,9987.80627355842,499.3903136779211,0.2,0.0
1613,18989,2024-07-17 19:15:00,0.0,16.98228073841918,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98283128179562,25.410565188654225,25.0,24.240745212351978,2298.489780276471,6849.909395233731,9984.587279290581,9984.58727929058,0.0,9984.587279290581,72.38825777485671,0.029,0.0
1614,18990,2024-07-17 19:30:00,0.0,16.982648014312993,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.98319694424967,25.558048458259794,25.0,24.240745212351978,2297.381712449578,6846.607155526983,9983.163430056933,9983.163430056935,0.0,9983.163430056933,72.37793486791277,0.029,0.0
1615,18991,2024-07-17 19:45:00,0.0,16.983014114350176,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.983568989891516,25.53702897925866,25.0,24.240745212351978,2299.0439889979098,6851.561036046096,9986.558046116248,9986.558046116248,0.0,9986.558046116248,72.4025458343428,0.029,0.0
