step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
7964,7964,2024-03-24 23:00:00,0.4792985671900479,9.445338636877045,1.0,1.0,0.0,1.0,-101.70089104963999,0.0,9.425128585377044,25.500847117455546,4.825,3.027492930894353,1171.8651663720757,3897.2300759743775,9421.84339978881,9421.843399788808,0.0,9421.84339978881,195.50325054561782,0.083,1.0
7965,7965,2024-03-24 23:15:00,0.48170052865373364,9.4325361822756,1.0,1.0,0.0,1.0,-130.70742732436176,0.0,9.40577353007289,25.498819406762024,4.65,2.8319525333523865,1102.2534004622864,3665.7247155196405,9352.216661569282,9352.216661569282,0.0,9352.216661569282,67.8035707963773,0.029,1.0
7966,7966,2024-03-24 23:30:00,0.4849170690009522,9.415392022224925,0.932778562476058,1.0,0.0,1.0,-159.40986364449202,0.0,9.38201645348037,25.496271789107226,4.475,2.636968012361334,1031.0571919110678,3428.9500308345805,9281.000289299112,9281.000289299112,0.0,9281.000289299112,67.28725209741857,0.029,0.932778562476058
7967,7967,2024-03-24 23:45:00,0.48896387812734854,9.393822529581232,0.8628363346056918,1.0,0.0,1.0,-187.2945477777835,0.0,9.353983074442253,25.49319795130705,4.3,2.44253534726592,959.4005059465418,3190.643952883515,9209.317941148762,9209.317941148762,0.0,9209.317941148762,66.76755507332852,0.029,0.8628363346056918
7968,7968,2024-03-25 00:00:00,0.4938247169670914,9.367914258565403,0.8500083654166423,1.0,0.0,1.0,-185.26665457398968,0.0,9.326262138471996,25.4897939339232,4.225,2.5118777780528543,949.6924052736166,3158.3580696532435,9199.578670179708,9199.57867017971,0.0,9199.578670179708,66.69694535880288,0.029,0.8500083654166423
7969,7969,2024-03-25 00:15:00,0.49905477408098436,9.340038054148353,0.8608869406190145,1.0,0.0,1.0,-172.72881429801416,0.0,9.300465770927387,25.486371893218745,4.15,2.5800961657626353,962.6607918556956,3201.486569138392,9212.512494203138,9212.512494203138,0.0,9212.512494203138,66.79071558297275,0.029,0.8608869406190145
7970,7970,2024-03-25 00:30:00,0.5040740576636867,9.31328527265255,0.8802607932143558,1.0,0.0,1.0,-157.32644693039734,0.0,9.277033227133684,25.48312975925228,4.075,2.6472037042431715,982.73092243921,3268.233084679046,9232.54794205181,9232.547942051811,0.0,9232.54794205181,66.93597257987562,0.029,0.8802607932143558
7971,7971,2024-03-25 00:45:00,0.5086908016872826,9.288678027006783,0.9025340167241246,1.0,0.0,1.0,-141.49104969761282,0.0,9.256030771536276,25.4801515270058,4.0,2.7132103105507883,1004.912731546913,3342.0023339704917,9254.696950934629,9254.696950934629,0.0,9254.696950934629,67.09655289427606,0.029,0.9025340167241246
7972,7972,2024-03-25 01:00:00,0.5128577974807422,9.266467939427644,0.859856182885952,1.0,0.0,1.0,-159.28379996642624,0.0,9.232300031935646,25.47724229885588,3.75,2.4767654222376345,956.2608593861598,3180.2025425965867,9206.015004901526,9206.015004901525,0.0,9206.015004901526,66.74360878553607,0.029,0.859856182885952
7973,7973,2024-03-25 01:15:00,0.5170557185159924,9.24409302030976,0.7901082858824623,1.0,0.0,1.0,-188.60077470614877,0.0,9.204073514967009,25.474067327601016,3.5,2.2402718552397682,881.5440221019265,2931.7194288376245,9131.268702553827,9131.268702553825,0.0,9131.268702553827,66.20169809351525,0.029,0.7901082858824623
7974,7974,2024-03-25 01:30:00,0.5219323303037912,9.218100679480793,0.7103601352641407,1.0,0.0,1.0,-220.8024082826457,0.0,9.170909069480713,25.4704120348038,3.25,2.0037369865349173,798.3845778505377,2655.159039009529,9048.076890972536,9048.076890972534,0.0,9048.076890972536,65.59855745955089,0.029,0.7103601352641407
7975,7975,2024-03-25 01:45:00,0.5276941581340554,9.187390137145485,0.6268142610831124,1.0,0.0,1.0,-253.17088470874032,0.0,9.13278147179293,25.466187714833275,3.0,1.76714999969972,712.3836401946306,2369.1487961825137,8962.038519708147,8962.038519708145,0.0,8962.038519708147,64.97477926788407,0.029,0.6268142610831124
7976,7976,2024-03-25 02:00:00,0.5343848072095057,9.151728977573335,0.5687599343966963,1.0,0.0,1.0,-271.25662708442474,0.0,9.091881841612855,25.461473217951955,2.95,1.655474765024719,654.5005084543843,2176.648934950141,8904.11200731659,8904.11200731659,0.0,8904.11200731659,64.55481205304528,0.029,0.5687599343966963
7977,7977,2024-03-25 02:15:00,0.5417998294841235,9.112206908849622,0.5216169179297142,1.0,0.0,1.0,-283.7757339395573,0.0,9.04906421516108,25.456400244007998,2.9,1.5441332606849896,607.1562611877171,2019.1978649236776,8856.71931584572,8856.719315845718,0.0,8856.71931584572,64.21121503988147,0.029,0.5216169179297142
7978,7978,2024-03-25 02:30:00,0.5496543282037187,9.07034243067418,0.4786144587015934,1.0,0.0,1.0,-294.224464994763,0.0,9.004646300892135,25.451066087595496,2.8499999999999996,1.4331259813022934,563.2860679446366,1873.3003321255603,8812.796998045264,8812.796998045264,0.0,8812.796998045264,63.89277823582816,0.029,0.4786144587015934
7979,7979,2024-03-25 02:45:00,0.5578386905210803,9.026719779522642,0.4372354682856018,1.0,0.0,1.0,-303.74191637282377,0.0,8.958771070718424,25.445521575776084,2.8,1.3224550383476181,520.6078128279232,1731.3667853286308,8770.063933201394,8770.063933201394,0.0,8770.063933201394,63.58296351571011,0.029,0.4372354682856018
7980,7980,2024-03-25 03:00:00,0.5663098006356301,8.981568762612092,0.4146228818849339,1.0,0.0,1.0,-303.6215711042433,0.0,8.912916829124438,25.439835581731273,2.5999999999999996,1.2959630749058515,497.8583299931831,1655.7096438241258,8747.2574687417,8747.2574687417,0.0,8747.2574687417,63.417616648377326,0.029,0.4146228818849339
7981,7981,2024-03-25 03:15:00,0.5749148046896153,8.93570409100435,0.3993110022295331,1.0,0.0,1.0,-300.373136972422,0.0,8.867563324583593,25.43413116083914,2.4,1.2661918540308663,481.8246625023973,1602.3870492403883,8731.165333673069,8731.165333673069,0.0,8731.165333673069,63.30094866912975,0.029,0.3993110022295331
7982,7982,2024-03-25 03:30:00,0.583470591842545,8.890101745479235,0.38603063183325775,1.0,0.0,1.0,-296.57084547326514,0.0,8.82279545221979,25.428474988826967,2.2,1.2331984438044157,467.22893328401483,1553.8465545461397,8716.510913620044,8716.510913620044,0.0,8716.510913620044,63.194704123745325,0.029,0.38603063183325775
7983,7983,2024-03-25 03:45:00,0.59192441960668,8.845042843496396,0.3728077347133214,1.0,0.0,1.0,-293.03329253976506,0.0,8.778572558219858,25.422888242026875,2.0,1.197038001518586,452.358869849895,1504.393716361257,8701.582599037733,8701.582599037733,0.0,8701.582599037733,63.08647384302356,0.029,0.3728077347133214
7984,7984,2024-03-25 04:00:00,0.6002722096101791,8.800549122777745,0.36738357120638915,1.0,0.0,1.0,-285.751621790059,0.0,8.735468801868773,25.417415436730632,2.0,1.197038001518586,445.78826664728854,1482.542096265946,8694.954409506558,8694.954409506558,0.0,8694.954409506558,63.03841946892255,0.029,0.36738357120638915
7985,7985,2024-03-25 04:15:00,0.6084635626129166,8.756889211273155,0.3653154748743538,1.0,0.0,1.0,-277.25377852983667,0.0,8.693670597520788,25.41207869054813,2.0,1.197038001518586,442.38568771273793,1471.2262611851402,8691.495416642245,8691.495416642245,0.0,8691.495416642245,63.013341770656275,0.029,0.3653154748743538
7986,7986,2024-03-25 04:30:00,0.6164273521295788,8.714442213149345,0.36452265427049635,1.0,0.0,1.0,-268.5563048811741,0.0,8.653208447387701,25.406895392362575,2.0,1.197038001518586,440.06537870978593,1463.5096925120956,8689.120109570697,8689.120109570697,0.0,8689.120109570697,62.99612079438755,0.029,0.36452265427049635
7987,7987,2024-03-25 04:45:00,0.6241433187341066,8.673316111147212,0.364217687631506,1.0,0.0,1.0,-259.9854781589511,0.0,8.614062817256318,25.401872252188163,2.0,1.197038001518586,438.14321734870117,1457.1172292131935,8687.144553258337,8687.144553258337,0.0,8687.144553258337,62.98179801112294,0.029,0.364217687631506
7988,7988,2024-03-25 05:00:00,0.6316104621664013,8.633516236653081,0.33736275718981346,1.0,0.0,1.0,-265.06941164549374,0.0,8.574139598575387,25.39692707127144,2.0,1.0731352333360984,407.60869534923023,1355.5696613643718,8656.558300529126,8656.558300529126,0.0,8656.558300529126,62.76004767883617,0.029,0.33736275718981346
