step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
2688,11328,2024-04-29 00:00:00,0.2996389207923774,10.402924552176628,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-1743.4075407800235,10.108232589112253,26.199937005992265,18.325000000000003,12.368851475629286,2541.5243580595725,8628.875774000882,10829.846044444692,10829.846044444694,0.0,10829.846044444692,78.51638382222401,0.029,-0.32639492511682583
2689,11329,2024-04-29 00:15:00,0.3302093783759879,10.239984013255985,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-1617.5162664899271,9.860738255817525,26.191510784675803,17.55,11.957137123361383,2541.5243580595725,8497.321028552095,10829.692752955723,10829.692752955722,0.0,10829.692752955723,78.515272458929,0.029,-0.3263949251168261
2690,11330,2024-04-29 00:30:00,0.37843656184756147,9.982933125352497,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-1500.7485510597362,9.631193080408616,26.184846494445004,16.775,11.531346826932094,2519.2713592059267,8378.250666016338,10807.26714670073,10807.267146700731,0.0,10807.26714670073,78.35268681358029,0.029,-0.3263949251168261
2691,11331,2024-04-29 00:45:00,0.4231658581946603,9.74452597582246,0.4219653859038123,0.45,0.0,1.0,1.0,0.0,6679.662015977187,-44.920107911714425,10.558469050544973,28.61939959989847,16.0,11.0918866324016,0.0,0.0,6903.347374981931,6903.347374981931,0.0,6903.347374981931,50.049268468619005,0.029,0.4219653859038123
2692,11332,2024-04-29 01:00:00,0.2893387691878397,10.457824360228814,-0.32639492511682583,0.45,0.0,1.0,1.0,0.0,6620.158086355758,-26.1646245300056,11.57121273431212,29.19596382766973,16.0,11.0918866324016,0.0,0.0,6929.323991862489,6929.323991862488,0.0,6929.323991862489,50.23759894100304,0.029,-0.32639492511682583
2693,11333,2024-04-29 01:15:00,0.169641714108048,11.095809663804104,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-2258.086710140239,11.248903596514815,26.53640974820351,16.0,11.0918866324016,2541.5243580595725,9389.377743824747,10860.778804286525,10860.778804286523,0.0,10860.778804286525,78.74064633107731,0.029,-0.3263949251168261
2694,11334,2024-04-29 01:30:00,0.13283002396025165,11.292015972291859,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-2091.4311318675996,10.918684666422763,26.22282062183511,16.0,11.0918866324016,2541.5243580595725,8986.3691495373,10832.433054263473,10832.433054263473,0.0,10832.433054263473,78.53513964341018,0.029,-0.32639492511682594
2695,11335,2024-04-29 01:45:00,0.19687786898799872,10.950640958293967,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-1999.7999838105438,10.612398028754162,26.202395126346158,16.0,11.0918866324016,2541.5243580595725,8882.394641275601,10829.707706933359,10829.70770693336,0.0,10829.707706933359,78.51538087526686,0.029,-0.3263949251168261
2696,11336,2024-04-29 02:00:00,0.23196620731527912,10.763620115009562,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1855.3481202533758,10.328331026884584,26.201765321007294,16.425,11.329180854653156,2541.5243580595725,8731.527861086513,10829.630207991067,10829.630207991067,0.0,10829.630207991067,78.51481900793524,0.029,-0.32639492511682594
2697,11337,2024-04-29 02:15:00,0.28732031198865693,10.468582737100459,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1721.3527227979,10.064871087722187,26.204002582142877,16.85,11.562212150840372,2541.5243580595725,8594.847867007244,10829.60838592067,10829.60838592067,0.0,10829.60838592067,78.51466079792486,0.029,-0.32639492511682594
2698,11338,2024-04-29 02:30:00,0.33865880311735835,10.19494857938448,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1597.0579578393185,9.820522220349954,26.208015987460353,17.275,11.790894904729784,2541.5243580595725,8468.968699482584,10829.67086126813,10829.670861268129,0.0,10829.67086126813,78.51511374419395,0.029,-0.32639492511682594
2699,11339,2024-04-29 02:45:00,0.3862731532020287,9.941164093433187,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-1481.7742745923483,9.593894029559452,26.21328456015002,17.7,12.015159928591716,2511.583578477491,8352.683688575482,10799.800179037458,10799.800179037458,0.0,10799.800179037458,78.29855129802158,0.029,-0.3263949251168261
2700,11340,2024-04-29 03:00:00,0.4304340093624566,9.705786730098106,0.5941191126115491,0.45,0.0,1.0,1.0,0.0,6685.673391925929,-44.97247500400688,10.52419248391267,28.586450611326015,17.025,11.831770916088244,0.0,0.0,6903.659560869035,6903.659560869035,0.0,6903.659560869035,50.0515318163005,0.029,0.5941191126115491
2701,11341,2024-04-29 03:15:00,0.29578632893464807,10.423458866778326,-0.32639492511682594,0.45,0.0,1.0,1.0,0.0,6659.422906399542,-26.32663275068455,11.542923032391702,29.163665727212706,16.35,11.625896570003585,0.0,0.0,6928.975590525553,6928.975590525553,0.0,6928.975590525553,50.235073031310264,0.029,-0.32639492511682594
2702,11342,2024-04-29 03:30:00,0.17547664639589644,11.064709474709872,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-2245.0178100197136,11.222446716085372,26.553062297854474,15.675,11.39852126034048,2541.5243580595725,9373.301946909163,10860.479771363054,10860.479771363058,0.0,10860.479771363054,78.73847834238215,0.029,-0.3263949251168261
2703,11343,2024-04-29 03:45:00,0.13784082496322814,11.265308402945994,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-2079.3282206647846,10.894147789270477,26.236677487948917,15.0,11.150555471497391,2541.5243580595725,8973.984628541706,10832.636835848392,10832.636835848394,0.0,10832.636835848392,78.53661705990085,0.029,-0.32639492511682594
2704,11344,2024-04-29 04:00:00,0.20151626981974086,10.925918281860781,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-1988.2289327637366,10.589641889141733,26.2159106887225,15.0,11.150555471497391,2541.5243580595725,8870.644631996734,10829.861085122397,10829.861085122397,0.0,10829.861085122397,78.51649286713737,0.029,-0.32639492511682583
