scenario_id,controller_type,closed_loop_steps,dt_hours,total_cost,energy_cost,demand_charge_cost,grid_import_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_step_count,pv_actual_kwh,pv_used_kwh,pv_spill_kwh,pv_spill_reduction_vs_no_tes,tes_charge_during_pv_surplus_kwh_th,soc_headroom_before_pv_hours,pv_self_consumption_ratio,pv_load_coverage_ratio,it_energy_kwh,facility_energy_kwh,cold_station_energy_kwh,pue_avg,pue_p95,temp_violation_count,temp_violation_degree_hours,max_temp_c,soc_min,soc_max,soc_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_equivalent_cycles,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,first_discharge_step,first_discharge_timestamp,avg_chiller_plr,avg_mode_specific_plr,weighted_avg_chiller_cop,time_in_high_plr_region,low_plr_hours,high_plr_hours,time_in_each_mode,mode_switch_count,max_signed_du,signed_valve_violation_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,max_signed_valve_du,tes_discharge_during_peak_cap_violation_kwh_th,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate,fallback_count,has_nan,run_dir
pv_priority_pv_scale-2_w_spill-0p02,mpc,96,0.25,2024.8180107239114,2024.8180107239114,0.0,34817.13994378128,3090.0,0.0,0,40687.2,28573.181469139134,12114.018530860865,,122.07446808507699,2.5,0.7022646303785745,0.45074990680383675,432000.0,495390.3214129204,63390.32141292041,1.146736855122501,1.1716666666666666,0,0.0,26.86819950330439,0.5,0.85,0,0.5,0.8302529990912894,0.33025299909128936,5944.553983643208,7076.139978599047,0.0,0.0,31.125392447516145,,,49,0,47,0,,,0.9855342616574908,0.9855342616574908,7.1106846060312385,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.9743024468756024,3.888733374980802,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-2_w_spill-0p02
pv_priority_pv_scale-2_w_spill-0p2,mpc,96,0.25,1998.2339349323315,1998.2339349323315,0.0,34656.02433292322,3090.0,0.0,0,40687.2,28573.181469139134,12114.018530860865,,113.93617021273852,2.75,0.7022646303785745,0.4518984717060476,432000.0,495229.20580206235,63229.20580206235,1.1463639023195888,1.1716666666666666,0,0.0,26.888194221184552,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7068.0016807267075,0.0,0.0,31.127839684743133,,,48,0,48,0,,,0.9782689473150458,0.9782689473150458,7.108580308995354,21.75,0.0,21.75,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000005949,0,0,0.0,0.10000000000005949,0.0,0.7004826093746791,1.3457653500008746,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-2_w_spill-0p2
pv_priority_pv_scale-2_w_spill-1p0,mpc,96,0.25,2004.5145574216915,2004.5145574216915,0.0,34694.08871164662,3090.0,0.0,0,40687.2,28573.181469139134,12114.018530860865,,113.93617021273852,2.75,0.7022646303785745,0.451626589664632,432000.0,495267.2701807858,63267.27018078575,1.1464520143073744,1.1716666666666666,0,0.0,26.883610551353435,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7067.993281977475,0.0,0.0,31.127842213210727,,,48,0,48,0,,,0.9799854146095711,0.9799854146095711,7.109078426753227,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.6701565343776869,1.1400636500038672,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-2_w_spill-1p0
pv_priority_pv_scale-2_w_spill-5p0,mpc,96,0.25,2014.4230107239114,2014.4230107239114,0.0,34754.13994378128,3090.0,0.0,0,40687.2,28573.181469139134,12114.018530860865,,113.93617021273852,2.75,0.7022646303785745,0.45119832690901507,432000.0,495327.3214129204,63327.32141292041,1.1465910217891677,1.1716666666666666,0,0.0,26.87590272562148,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7068.001680726707,0.0,0.0,31.12783968474314,,,48,0,48,0,,,0.9826933525665816,0.9826933525665816,7.109863051153197,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000017539,0,0,0.0,0.10000000000017539,0.0,0.631966902081634,1.068905749998521,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-2_w_spill-5p0
pv_priority_pv_scale-3_w_spill-0p02,mpc,96,0.25,1816.6777184489429,1816.6777184489429,0.0,32151.732354236017,3090.000000000002,0.0,0,61030.8,31678.127408036526,29352.672591963477,,130.21276595741472,4.0,0.5190514856111427,0.4962900988035742,432000.0,495829.85976227256,63829.85976227254,1.1477543050052605,1.1716666666666666,0,0.0,26.826237797810165,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7067.917319789205,0.0,0.0,31.1278650821187,,,48,0,48,0,,,0.9899828536378316,0.9899828536378316,7.116371302271618,21.75,0.0,21.75,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.0587539520835587,2.364719099983631,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-3_w_spill-0p02
pv_priority_pv_scale-3_w_spill-0p2,mpc,96,0.25,1802.4819043406458,1802.4819043406458,0.0,32065.697117216037,3090.0000000000014,0.0,0,61030.8,31661.37110979713,29369.42889020287,,130.2127659574196,4.5,0.5187769308250446,0.49682767449791837,432000.0,495727.06822701317,63727.068227013166,1.1475163616366046,1.1716666666666666,0,0.0,26.839142126196748,0.5,0.8500000000000002,0,0.5,0.8298378725917439,0.3298378725917439,5937.08170665139,7067.9173197892105,0.0,0.0,31.12786508211873,,,48,0,48,0,,,0.9853475932094682,0.9853475932094682,7.115048424786415,21.5,0.0,21.5,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.8756479968763718,1.5157008000169299,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-3_w_spill-0p2
pv_priority_pv_scale-3_w_spill-1p0,mpc,96,0.25,1802.4819043404614,1802.4819043404614,0.0,32065.697117214917,3090.0000000000055,0.0,0,61030.8,31661.37110979713,29369.42889020287,,130.212765957467,4.5,0.5187769308250446,0.4968276744979271,432000.0,495727.06822701206,63727.068227012045,1.147516361636602,1.1716666666666666,0,0.0,26.839142126196887,0.5,0.8500000000000026,0,0.5,0.8298378725917464,0.32983787259174635,5937.081706651435,7067.917319789258,0.0,0.0,31.127865082119083,,,48,0,48,0,,,0.9853475932094178,0.9853475932094178,7.1150484247864005,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,7.639755494892597e-11,0.10000000000000003,0.0,0.8429429843721058,1.4053537000072538,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-3_w_spill-1p0
pv_priority_pv_scale-3_w_spill-5p0,mpc,96,0.25,1802.4819043406537,1802.4819043406537,0.0,32065.697117216085,3090.0000000003683,0.0,0,61030.8,31661.37110979713,29369.42889020287,,130.21276595739704,4.5,0.5187769308250446,0.49682767449791804,432000.0,495727.0682270132,63727.06822701321,1.1475163616366046,1.1716666666666666,0,0.0,26.83914212619674,0.5,0.85,0,0.5,0.8298378725917428,0.3298378725917428,5937.08170665137,7067.9173197891905,0.0,0.0,31.127865082118564,,,48,0,48,0,,,0.9853475932094675,0.9853475932094675,7.115048424786416,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.0, '2': 20.0}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.7425320395829355,1.2505817750134156,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-3_w_spill-5p0
pv_priority_pv_scale-5_w_spill-0p02,mpc,96,0.25,1645.6936663105203,1645.6936663105203,0.0,29685.886462488,3090.0,0.0,0,101718.0,34539.600000000006,67178.4,,162.76595744676933,4.75,0.33956231935350684,0.5377865066101671,432000.0,496225.48646248796,64225.486462488,1.1486701075520556,1.1716666666666666,0,0.0,26.797048346219857,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7067.917319789208,0.0,0.0,31.127865082118703,,,48,0,48,0,,,0.9958805071057412,0.9958805071057412,7.116356839554102,21.5,0.0,21.5,"{'-1': 2.5, '0': 1.0, '2': 20.5}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.5579999093755154,1.0675778500080924,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-5_w_spill-0p02
pv_priority_pv_scale-5_w_spill-0p2,mpc,96,0.25,1631.6153356969107,1631.6153356969107,0.0,29600.563246647944,3090.0,0.0,0,101718.0,34539.600000000006,67178.4,,162.76595744676933,4.75,0.33956231935350684,0.5385019035137099,432000.0,496140.1632466479,64140.16324664794,1.1484726001079812,1.1716666666666666,0,0.0,26.80867095811119,0.5,0.85,0,0.5,0.8298378725917438,0.3298378725917438,5937.081706651388,7067.917319789207,0.0,0.0,31.127865082118706,,,48,0,48,0,,,0.9944488614827318,0.9944488614827318,7.1152658237922966,21.5,0.0,21.5,"{'-1': 2.5, '0': 1.0, '2': 20.5}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.4064017281249714,0.7928941999998642,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-5_w_spill-0p2
peak_cap_peak_cap_kw-,mpc,96,0.25,2784.8069293671506,2784.8069293671506,0.0,42332.66429919485,3090.0,0.0,0,20343.6,19815.999999999996,527.6000000000012,,40.691489361691495,0.5,0.9740655537859572,0.31884836502040026,432000.0,494148.6642991948,62148.66429919485,1.1438626488407286,1.1716666666666666,0,0.0,26.960071527937156,0.5,0.85,0,0.5,0.8252989962768452,0.3252989962768452,5855.381932983214,7076.0556176615455,82.03828660719499,0.0045576825892886105,31.1254177865057,83.0,51.8745822134943,49,1,46,1,95.0,2025-07-01 23:45:00,0.9714173274825338,0.9714173274825338,7.10057072790965,22.0,0.0,22.0,"{'-1': 2.0, '0': 2.25, '2': 19.75}",6,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.6349482499999795,5.141029600003094,1.0,1.0,0,False,peak_cap_partial/peak_cap_peak_cap_kw-
peak_cap_peak_cap_kw-2600,mpc,96,0.25,3977.3238324477793,3977.3238324477793,0.0,45747.64540877461,2600.0,0.0,0,20343.6,20000.64,342.96000000000004,,32.553191489353864,0.0,0.9831416268507049,0.3042001761057447,432000.0,497748.2854087746,65748.28540877461,1.1521951051129042,1.1716666666666666,0,0.0,26.54827121254071,0.5,0.85,0,0.5,0.8369233365733258,0.33692333657332585,6064.620058319865,7206.388035596033,0.0,0.0,31.8794540663001,,,61,0,35,0,,,0.9004334439958016,0.9004334439958016,7.040473947995195,23.25,0.0,23.25,"{'-1': 0.5, '0': 0.25, '2': 23.25}",4,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,4.534860907291962,6.304721324995626,1.0,1.0,0,False,peak_cap_partial/peak_cap_peak_cap_kw-2600
peak_cap_peak_cap_kw-2800,mpc,96,0.25,3427.6152560659116,3427.6152560659116,0.0,44356.06312767219,2800.000000000386,3.8608050090260804e-10,0,20343.6,20000.64,342.96000000000004,,32.553191489353864,0.0,0.9831416268507049,0.3107778837011322,432000.0,496356.7031276722,64356.7031276722,1.1489738498325746,1.1716666666666666,0,0.0,26.720671162943336,0.5,0.8500000000012569,0,0.5,0.8348331194943415,0.33483311949434147,6026.996150898147,7165.552487500987,0.0,0.0,31.589332953244924,,,57,0,39,0,,,0.9287287502257274,0.9287287502257274,7.063952955042199,22.0,0.0,22.0,"{'-1': 1.75, '2': 22.25}",2,0.10000000000000003,0,0,3.637978807091713e-12,0.10000000000000003,0.0,3.8337485458356846,5.706601525002043,1.0,1.0,0,False,peak_cap_partial/peak_cap_peak_cap_kw-2800
peak_cap_peak_cap_kw-3000,mpc,96,0.25,2896.4358522376847,2896.4358522376847,0.0,42508.286862046574,3000.0000000000005,4.547473508864641e-13,0,20343.6,19816.0,527.6000000000001,,48.829787234031905,0.25,0.9740655537859573,0.31794988755927966,432000.0,494324.2868620466,62324.286862046574,1.1442691825510338,1.1716666666666666,0,0.0,26.932007245329146,0.5,0.8500000000000001,0,0.5,0.8306683332579182,0.3306683332579182,5952.029998642528,7084.193915533886,0.0,0.0,31.12297611378245,,,50,0,46,0,,,0.963618110685537,0.963618110685537,7.090192087555121,21.75,0.0,21.75,"{'-1': 2.0, '0': 1.75, '2': 20.25}",6,0.10000000000000009,0,0,3.637978807091713e-12,0.10000000000000009,0.0,2.467214436457349,4.401590599998599,1.0,1.0,0,False,peak_cap_partial/peak_cap_peak_cap_kw-3000
