step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
511,511,2024-01-06 07:45:00,1.0,6.413718070869566,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.414937348768532,25.225555492267098,8.0,5.666941672989878,2055.1211196359054,6834.642813055665,10306.119464028883,10306.119464028887,0.0,10306.119464028883,74.71936611420941,0.029,0.0
512,512,2024-01-06 08:00:00,1.0,6.414530930692773,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.41575015649984,25.225586733738215,7.65,5.372254948381842,2055.108852099977,6834.602015350135,10306.09755639011,10306.09755639011,213.3,10092.797556390111,398.6655034774094,0.158,0.0
513,513,2024-01-06 08:15:00,1.0,6.415343755538448,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.416562930706473,25.225666865694446,7.3,5.0767565802717405,2055.0977374463864,6834.565051744167,10306.072322768114,10306.072322768114,0.0,10306.072322768114,74.71902434006883,0.029,0.0
514,514,2024-01-06 08:30:00,1.0,6.416156546507874,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.417375673502409,25.22581161617226,6.949999999999999,4.7804371650834625,2055.0918910429627,6834.545608569378,10306.049362784517,10306.049362784517,0.0,10306.049362784517,74.71885788018776,0.029,0.0
515,515,2024-01-06 08:45:00,1.0,6.416969305018797,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.418188387681152,25.22603047581671,6.6,4.483313776571144,2055.0931933868897,6834.549939728001,10306.032572191334,10306.032572191334,0.0,10306.032572191334,74.71873614838718,0.029,0.0
516,516,2024-01-06 09:00:00,1.0,6.417782033539798,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.419001076446175,25.226370516022477,6.699999999999999,4.5321900256795935,2055.1225379671246,6834.6475299490785,10306.05773959169,10306.057739591692,393.24,9912.81773959169,391.55630071387174,0.158,0.0
517,517,2024-01-06 09:15:00,1.0,6.418594734992358,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.419813745034784,25.226799352249763,6.8,4.580530772077832,2055.1662768346023,6834.792990736475,10306.103291256402,10306.103291256402,0.0,10306.103291256402,74.71924886160892,0.029,0.0
518,518,2024-01-06 09:30:00,1.0,6.419407413667702,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.420626397284714,25.227295767335555,6.9,4.628328567463586,2055.2201930753604,6834.97229805023,10306.160783916015,10306.160783916017,0.0,10306.160783916015,74.71966568339111,0.029,0.0
519,519,2024-01-06 09:45:00,1.0,6.420220074091841,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.421439036116752,25.227837972301426,7.0,4.6755840383763125,2055.281859804447,6835.17738088585,10306.22663206497,10306.22663206497,0.0,10306.22663206497,74.72014308247104,0.029,0.0
520,520,2024-01-06 10:00:00,1.0,6.4210327196226595,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,6.42225166351005,25.22836914157243,6.75,4.44847946013774,2055.333413034771,6835.348829620312,10306.27148340546,10306.271483405462,692.16,9614.11148340546,379.7574035945157,0.158,0.0
